,Unnamed: 0,utterance,emotion
142,142.0,tumhari kise jarurat hogi? i mean kisi na kisi ko to hogi jarurat magar kise?,neutral
143,143.0,wo to waqt aane par aur ad aane per pata chal jayega momma.,sadness
144,144.0,ad?,surprise
145,145.0,.hahaha. can you imagine sahil do ghante tak rosesh kismi ko apne drama ke dialogue sunata raha dhadak dhadak dhadak. hahaha,joy
146,146.0,vah to theek hai dadi ji zara ye sochiye agar kismi ka ghar kisi kabristan ke pass hota to?,neutral
147,147.0,to kya. rosesh ko dialogue bolane ki jarurat hi nahin padati. woh chupchap kismi ke samne baitha rahata vah aur apne aap kabristan ka feel aa jata,joy
148,148.0,hahaha. safed bhoot kahin ka. hahaha,joy
149,149.0,sahil bhai dad?,neutral
150,150.0,ayy dekho dekho,neutral
151,151.0,monisha bhabhi,neutral
152,152.0,dekho monisha gaur se dekho,neutral
153,153.0,kya kya kya,neutral
154,154.0,ek minute ek minute. rosesh baith jao. baith ja aankhen badi kar ab dad ko gauro. dant nikal ke.aaa yah dekho hain same to same,joy
155,155.0,haan. same,neutral
156,156.0,kya hua aap sab aise gore kyon rahe? mujhe sharm aa rahi hai,joy
157,157.0,oh ho bhoot sharma ra ha hai. hahaha,contempt
158,158.0,achcha yah bata to dauda dauda kyon aaya yahan?,neutral
159,159.0,are haan. kismi aayi hai kya yahan?,neutral
160,160.0,kismi toh mummy ji ke sath gai hai na naukari ka interview dene?,neutral
161,161.0,raste mein momma ko sarita aunty mil gai vah unhe hi hello kar ne lagi gi kismi gayab,neutral
162,162.0,gayab?,surprise
163,163.0,this is the limit indu. are madhubhai is tarah se apni bhatiji ko hamare yahan kaise chhod sakte hain,contempt
164,164.0,isme kya harj kya hai maya,neutral
165,165.0,indravardhan kunwari ladki hai vah. i mean hum responsibility kaise le sakte hain? hamare ghar mein ek handsome young kunwara ladka hai,neutral
166,166.0,chhat main kunwara kahan hun.,joy
167,167.0,main rosesh ki baat kar rahi thi,anger
168,168.0,han rosesh kumara hai per vah handsome kahan hai,neutral
169,169.0,oh cut it out indu in any case mujhe rosesh ki fikar nahin hai. vah aisi mani ben made in jaipur jaisi ladki ke samne aankh uthakar bhi nahin dekhega,contempt
170,170.0,naturally tum uski aankhen nahin noch logi,contempt
171,171.0,well there's that but the point is the rosesh is not a problem. lekin vah ladki kal kuchh ulta sulta ho gaya to fir,neutral
172,172.0,"are don't worry maya, ya kismi is kasam ki ladki nahin hai",neutral
173,173.0,tumhen kaise pata ho sakta hai ki vah pagal ho yah serial killer yah...,neutral
174,174.0,maasi kya sone ki tayari ho rahi hain?,joy
175,175.0,kiss me please kisi ke kamre mein aane se pahle knock karna chahie,contempt
176,176.0,kal se knock kar ke aaungi na. kaise ho mausa,joy
177,177.0,ekadam maje mein. aaj mein jamke sounga bhai. daba ke khaya hai maya ke hathon ka bana hua mushroom masala. ,joy
178,178.0,it was mushroom de paiza indravardhan. and please healthily khaya hai bolo daba ke khaya hai is wedding receptionistacally middle class. jahan log daba ke basundi pite hai yah cutlets khate hain. not to forget  trirangi dhokala and paan. lekin i am sure tum to definitely dinner discuss nahi karne aayi hogi ho,contempt
179,179.0,nai masi. isme discuss kya karna. main to non-veg khati hi nahin na,contempt
180,180.0,excuse me kismi. yah jo mushroom hote hain na vah non-veg nahin hote,neutral
181,181.0,vo non-veg jaisa hi hota hai mausa aur mere jetpur mein haina usse billi ka top kehte hai. vah mareli sadeli gili lakadi per jab bhi nikal aata hai na mushroom kab hai na use,disgust
182,182.0,excuse me kismi. mushroom koi bimari nahin hai jo nikal kar aaye and please get to the point. tum itni raat ko yahan kyon aayi o,neutral
183,183.0,haan. masi idhar aaju baju mein railway station kahan hai,neutral
184,184.0,station? kyun?,surprise
185,185.0,vah kya hai na  ki jetpur mein mera ghar railway station ke laggo lag hai. tum mujhe hai na ki train aawar jaawar ki awaaz sunke hi sone ki aadat hai,neutral
186,186.0,ek minute ek minute kismi. iska matlab tum railway station per jakar sone ki soch rahi ho,neutral
187,187.0,na re sangi nahin per sun ke awoogi tu do ghadi aankh to lagegi na mausa,neutral
188,188.0,itni raat ko tumhen koi station nahin le ja sakta haa. ek kam karo kudi thodi der chukh chukh bolo aur so jao. ok,neutral
189,189.0,hain?,surprise
190,190.0,madhubhai ki bhatiji. hain!,anger
191,191.0,yess?,neutral
192,192.0,hello good night,joy
193,193.0,haa good night kahane ke liye tum abhi aayi ho,neutral
194,194.0,han. tum monisha ko bhi bol deti hun. monisha,neutral
195,195.0,arre shhh,anger
196,196.0,monisha,neutral
197,197.0,ayy kismi main manisha ko good night bol dunga chalo aur suno agar kal raat bhi tum bhul gai na good night bolna to parson subah aana belated good night bolna chalao,neutral
198,198.0,kaun hai sahil? kismi raat ko ek baje,surprise
199,199.0,raat ke teen baje hi monisha,neutral
200,200.0,are han meri gadi to ek hafte se band hai,neutral
201,201.0,tum ek hafte se band ghadi pahan rahi ho,surprise
202,202.0,han vah gold-plated hai na aur fir hath par bandi hui acchi lagti hai mahangi wali aur vaise bhi kareeb se kaun dekhne aata hai ki band hai ya chalu,neutral
203,203.0,high class hai haan monisha. per man lo ke kisi ne poochha bahan time kya hua hai toh,neutral
204,204.0,to main foran chuke kaise deti ho. are meri galti to band ho gai,neutral
205,205.0,solid high class idea hi monisha. hahaha. ay lekin monisha socho ke kisi sim aadami ne 2-3 bar time poochh liya to,neutral
206,206.0,yah to maine socha hi nahin kab to use shak ho sakta hai na kismi,fear
207,207.0,ooo chokriyo. chalo yah band gadi vasul vasul kal subah kheloge to chalega,neutral
208,208.0,sorry sahil bhai actually mujhe thodi madad chahie thi,neutral
209,209.0,kaisi,neutral
210,210.0,vah mujhe railgadi ki awaaz suni thi,neutral
211,211.0,alka yagnik ya udit narayan ki awaz nahin chalegi na,contempt
212,212.0,bus bus sahil bhai meri firki khinch rahe ho na,sadness
213,213.0,nahin nahin kya hai na kar meri cd ke collection mein train ki awaaz wali sidhi nahin hai,contempt
214,214.0,to ab mujhe nind kaise aaegi,sadness
215,215.0,ek kam karo abbi please sone ki ki koshish karo agar neend nahi aaye na to man mein main vah bed bakriyan 1 2 3 4 chalo chalo chalo good night,neutral
216,216.0,good night,joy
217,217.0,gayab as in thin air. sarita aur main puri building chan mari,neutral
218,218.0,kaun si?,neutral
219,219.0,embassy embassy towers uske aas paas ki sari sadke bhi dekhni hum logon ne,neutral
220,220.0,lekin aapane use naam lekar pukara? use awaaz di?,neutral
221,221.0,nahin,anger
222,222.0,common maya awaaz to lagani chahie thi na,anger
223,223.0,uska naam kismi hai indu,neutral
224,224.0,toh?,neutral
225,225.0,sarita aur main har jagah kismi kismi kahate hue khoon se to kaisa lagta?,neutral
226,226.0,koi badmash aakar ke momma ko kiss kar leta to,fear
227,227.0,right toh. i mean monisha hoti to alag baat thi. usse kis karne kaun aata. lekin main to abhi 35 ki lagti hun na,neutral
228,228.0,bhale hi aap ho 51 ki,neutral
229,229.0,yah kahana jaruri tha?,anger
230,230.0,excuse me guys! kismi ke bare mein soche oh my god sahil,neutral
231,231.0,oh my god sahil 6 bajane wale hain aur tum to jante ho embassy towers ke piche 6 baje ke bad kya hota hai,fear
232,232.0,kya hota hai?,neutral
233,233.0,up come on ab acting mat karo jaise tumhen kuchh pata hi nahin hai,anger
234,234.0,vakya mein mujhe kuchh pata nahin hai kuchh,fear
235,235.0,aaaa hahaha. monisha yahan per baithi hai isiliye nirdosh banne ki koshish kar rahe ho.,contempt
236,236.0,indravardhan embassy towers ke piche kya hota hai 6 baje ke bad bako!,anger
237,237.0,kuchh nahin maiya ho gunday mavali wahan chori ka mal bhejte hain. yah imported ghatiya vagaira 400 500rs mein mil jaati hai,neutral
238,238.0,right!,neutral
239,239.0,are vah. sahil chalo chalo wahan chalte hain vaise bhi meri gadi band ho gai hai chalo na,joy
240,240.0,monisha,anger
241,241.0,aur kism bhi toh kho gai hai. haina,neutral
242,242.0,hello everybody,joy
243,243.0,oh my goodness madhusudan fufa. koi nahin bataega kismi kho gai hai,fear
244,244.0,hello madhu bhai aap cold coffee piyenge yah french champagne?,joy
245,245.0,hain?,neutral
246,246.0,maya. french champagne ghar mein hai?,neutral
247,247.0,bolane mein kya jata hai unhen sunai thodi de raha hai,neutral
249,249.0,namaste,neutral
250,250.0,aap kon?,neutral
251,251.0,kismi,neutral
252,252.0,excuse me,surprise
253,253.0,mera naam hai. woh chocolate aati thi na meethi meethi godi godi. use pese rakha.,joy
254,254.0,hi maya,joy
255,255.0,madhubhai aaye aaye. bahut dino baad.,neutral
256,256.0,"maya ya mere bhai moti lal ji ki chhoti beti, kismi.",neutral
257,257.0,iska naam sachmuch kismi hai,contempt
258,258.0,nahin nahin iska naam kismi hai,neutral
259,259.0,dids ne abhi vahi tu kaha mr,neutral
260,260.0,henh?,neutral
261,261.0,dids ne abhi wahi kaha,neutral
262,262.0,maya ya sahil ne ladki ke kapde kyon pahne hain?,neutral
263,263.0,nahin nahin madhupushpa yah sahil nahin hai yah mummy ji ki bahan hai naisha mausi,neutral
264,264.0,han han jarur launga. lekin yah sahil ne ladki ke kapde kyon pahne hai?,neutral
265,265.0,madhu bhai aap baithie na. inne kuchh bhi nahin sunai deta. baithiye madhu bhai,neutral
266,266.0,trivennum!,neutral
267,267.0,what?,surprise
268,268.0,madhubhai baithi aap please,anger
269,269.0,kisme aao na tum bhi baitho,joy
270,270.0,madhu kaka high class  hai inka ghar,neutral
271,271.0,haan! are maiya bade jatan se rakhti hai apne ghar ko,neutral
272,272.0,han vah to dikhi raha hai,neutral
273,273.0,dikhta hai na toh!,joy
274,274.0,mamma mia ji kitna easily communicate kar rahi hai madhu bai ke sath,surprise
276,276.0,madhubhai yahan kaise aana hua,neutral
277,277.0,nahin nahin khichdi aur kadhi banakar gai hai ila,neutral
278,278.0,kaka ye poochh rahi hai yahan kaise aana hua?,neutral
279,279.0,ooo! maiya meri bhatiji jaidpur se mumbai ayi hai. kaam kaaj dhundhne ke liye,neutral
280,280.0,achha kis tarah ka kaam kaaj?,neutral
281,281.0,aaj? aaj to kitchen repair karenge vah log. lekin yah sahil ne ladki ke kapde kyon pahne hai?,neutral
282,282.0,kaka yah sahil bhai nahi hai. yah inki bahan hai,neutral
283,283.0,oo maiya ye tumhari bahan hai ?,surprise
284,284.0,naisha,neutral
285,285.0,lekin kisme ne to kaha ki tumhari bahan hai,neutral
286,286.0,madhubhai yah. over to kisme,anger
287,287.0,kaka inka naam hai naisha,neutral
288,288.0,ooo naisha,neutral
289,289.0,are vah mummy ji yah ladki to champion hai,joy
290,290.0,main kaka ke yahan rahane aayi hoon per ke yahan repair chal rahi hai na. to vah mujhe yahan chhodake jale hain,neutral
292,292.0,haan.zyada nai en do mahine ke liye,neutral
293,293.0,ek do mahine. madhubhai that's not possible hah.,fear
294,294.0,thank you maya,joy
295,295.0,oh my god madhubhai over to kismi. samjhao please,neutral
296,296.0,kaka yah kah rahi hai main yahan nahin rah sakti,sadness
297,297.0,achcha kyon?,surprise
298,298.0,achcha kyon ?,neutral
299,299.0,main sun sakti hun thank you,contempt
300,300.0,han batao na kyon,neutral
301,301.0,kyunki ki naisha yahan hai na,joy
302,302.0,dids main to aaj hi ja rahi hun sham ko. punjab mujhe yad a raha hai vahan hare hare kheton mein main aur jugalkishor duet gaaye gay. tujhe dekha to yeh jaana sanam,joy
303,303.0,naisha band karo apna ye punjab tourism. now enough naisha,anger
304,304.0,tujhe dekha to ye jana sanam,sadness
305,305.0,bass,anger
306,306.0,alright!,anger
307,307.0,lekin kisme yahan kyon nahin rah sakti maya,neutral
308,308.0,vahi main sochne ki koshish kar rahi hun madhu bhai.,neutral
310,310.0,hi everybody! hi naisha! ,joy
311,311.0,jiju,joy
312,312.0,oh my god hain hain kumar,fear
313,313.0,ayyy indu? yah meri bhatiji yahan rah sakti hai kuchh dinon ke liye.,neutral
314,314.0,sir kya hila rahe ho,anger
315,315.0,are kuchh bolunga to fir yah hain hain karenge,anger
316,316.0,arre per yun bhi to kar sakte ho na main,anger
317,317.0,aisa karta to fir vah kahate kyon nahin rah sakti fir main jawab deta to vah fir se kahate hain hain. isliye maine,contempt
318,318.0,kaka masa ne haan kaha,joy
319,319.0,hash,joy
320,320.0,rosesh bhaiya! chai pi lijiye,neutral
321,321.0,kahan hogi vah is waqt,neutral
322,322.0,are vahi table per hi to padhi hui hai,neutral
323,323.0,mai kismi ki baat kar raha hun bhabhi,neutral
324,324.0,umm. sab gaye hain na kismi ko dhundhne ke liye. chaliye aap chai aur kormore kha lijiye chaliye. are han usmein kuchh jale hue kormore bhi hai. unhen side mein kar lijiyega han,neutral
325,325.0,mujhe nahin khane ja,disgust
326,326.0,sare ke sare nahin chale hue hain dekhi na kuchh yellow wali bhi hai. main chunke dun,neutral
327,327.0,vah baat nahin hai bhabhi mein bus pahunch raha hun ke kismi ko bhi to bhookh lagi hogi,neutral
328,328.0,to vahan per jethalal pani puri wala hai na saade pani ki pani puri ke 18 rupaye per plate. aur mineral water ke pani puri ke 30 rupaye per plate. aur pata hai hai jethalal se jyada zidd karo na to do pani puri free mein bhi deta hai,joy
329,329.0,lekin kismi ke pass paise nahin honge toh? ,neutral
330,330.0,to vah free wali pani puri pahle mang legi aur kahegi ki actual plate bad mein khaungi,joy
331,331.0,vah gaon ki bholi ladki hai bhabhi vah kya kisi se free mein pani puri mangi thodi si madad mangne mein tu itni hich kicha rahi thi raat ko,neutral
332,332.0,raat ko?,surprise
333,333.0,han kal raat ko mere kamre mein aayi thi,joy
334,334.0,"indu tum rosesh ko mai chai banati hun. are tum yahan kyon so rahe ho rosesh, rosesh sweety",surprise
335,335.0,sony dijiye na momma raat bhar nahin hua,sadness
336,336.0,kyun ,surprise
337,337.0,kismi ne sone hi nahin diya,neutral
338,338.0,kya kar rahe the tum dono raat bhar? kahan hai kismi?,anger
339,339.0,vah mere bedroom mein hai bichari,neutral
340,340.0,vah bichari nahin hai tum idiot ho. come on wake up. kismi! kis,anger
341,341.0,good morning masi,joy
342,342.0,i demand an explanation kismi tum rosesh ke kamre mein kya kar rahi thi?,anger
343,343.0,main vahan so rahi thi masi thik thak nind a gai. rosesh ki madad se,joy
344,344.0,rosesh,neutral
345,345.0,mama isko train ki awaaz unke sone ki aadat hai na,neutral
346,346.0,haan toh,neutral
347,347.0,"koi yad hai use hindi natak mein, ay musafir tera order de veg ya non veg. jis natak mein mein train ka second class dibba vah banaa tha",neutral
348,348.0,han yad hai badi cute lag rahe the tum first class dibba hote to aur bhi achha hota but so?,neutral
349,349.0,usmein mera dialogue tha na dhadak dhadak dhadak dhadak dhadak ooooooo f,neutral
350,350.0,train ki awaaz sunte hi aankhen jhokha khane lagi thi masi,joy
351,351.0,maya,neutral
352,352.0,kaka kaka mujhe yahan chodne ke liye bahut bahut thank you. yah log bahut acche hain,joy
353,353.0,don't be silly,joy
354,354.0,rosesh,anger
355,355.0,hahaha. pure 10 minut tak main vah dialogue bolata raha tab jake sooyi,joy
356,356.0,aila,joy
357,357.0,aur woh jara bhi ooo aaa karti thi to main turant shuru ho jata tha. dha dha,joy
358,358.0,shukr hai aapko aapki yah wale dialogue to yad the,neutral
359,359.0,mujhe to interval ke bad wale dialogue bhi yad the,neutral
360,360.0,hello everybody dekho mujhe kaun mila,anger
361,361.0,kismi!,surprise
362,362.0,kismi! kahan chali gai thi tum pata hai sab kitna pareshan the,anger
363,363.0,woh main,sadness
364,364.0,batao batao kahan chali gai thi tum,anger
365,365.0,hua main thoda sa shopping karni chali gai thi novelty store mein 40 taka discount chal raha thana vahan,sadness
366,366.0,isiliye bagair kuch kahen bagair kuch soche samjhe madam shopping karne nikal padi,anger
367,367.0,akele akele,sadness
368,368.0,very bad kismi. agar tumhen kuchh ho jata to main toh sara dosh tum per hi dalta ki tumne hi laparvahi bharti hai,anger
369,369.0,i mean shopping ke bagair nahin rah sakti ki tum,anger
370,370.0,"masi per actually main apne liye nahin aap sab ke liye shopping karne gayi thi. haan yah dekhiae aapke liye talcum powder, phir body spray sahil bhai ke liye fir ya rumal masa ke liye aur yah monisha ke liye",joy
371,371.0,purse mere liye!,joy
372,372.0,han han ismein peppermint aur chocolate bhi hai,joy
