,utterance,emotion
64,"indravadan ghutne pe ya thighs pe chhed ho tab wo jeans fashionable hoti hai, ismein kahan chhed hai dikhao?",contempt
65,radha bai! rosesh!,neutral
66,"haha, kamal hai na dono kam wali bayian aaj gayab hai.",joy
67,indu! tumhi uthakar ke fenk do bahar chalo.,neutral
68,haila yah to meri favourite chocolate ka dibba hai maya!,surprise
69,tumhari favourite chocolate expire ho chuki hai,neutral
70,"rahane do na maya, kam aaegi",neutral
71,kya kam aaegi?,neutral
72,main kha lunga,neutral
73,indu ismein zahar faila hoga,neutral
74,to tum kha lena,neutral
75,kya tum sach mein chahte ho ki main mar jaaun? i'll rephrase the question. agar bhagwan tumhen option de ki tum apni jaan doge ya maya ki to tum kaun sa option chunoge?,neutral
76,yeah do mein se ek ungali select karo nahin fir se fir se ab,neutral
77,i have got my answer indravadan,sadness
78,rosesh kahan the tum? kab se chilla rahi hoon!,neutral
79,yeh aapka letter...,sadness
80,letter?,surprise
81,jo aapane dad ko likha tha mere paida hone se pahle!,sadness
82,tere paida hone se pahle? aaye haye kya suhane din the kab lautenge ab pta nhi!,contempt
83,bahut jald vah din wapas laut aaenge dad,sadness
84,kyon aisa kah rahe ho kya hai is letter main?,neutral
85,ismein saboot hai ki aap logon ki jindagi mein meri koi jarurat nahin thi! main aap logon ki anchahi aulad hun,sadness
86,rosesh! this is supremely middle class!,contempt
87,ok main aapka unwanted child hun,sadness
88,"that's better. are rosesh, tumhen aisa kyon lagta hai beta?",neutral
89,rosesh chup ho jao. monisha pani lekar aao!,anger
90,kaunsa wala laun?,neutral
91,kaunsa wala matlab?,neutral
92,isme lahsun ka tadka gira tha aur ismein ballpen.,neutral
93,ball pen leak ho rahi thi?,neutral
94,nahi,neutral
95,to vah wala pani lekar aao,neutral
96,okay,neutral
97,hello mujhe batao tum ro kyon rahe ho?,anger
98,"momma hai na momma, wo mujhe maarna chahti thi sahil bhai!",sadness
99,mom bhi?,neutral
100,haan.,sadness
101,mom tumhe kyun marna chahti thi rosesh? tum mom ko bahut acche lagte ho. tum acting karte ho fir bhi!,neutral
102,"mere paida hone se pahle momma ko pata thodi na tha, ki main paida hokar great actor banunga.",sadness
103,yah lijiye,neutral
104,thank you. ismein se to ajeeb si smell a rahi hai bhabhi,disgust
105,pee le na! aisi acting kar jaise yah best quality wine ho. great actor hai ye!,contempt
106,sahil tum rosesh bhaiya ko tana kyon mar rhe ho?,neutral
107,"tana hi to mar rahe hain bhabhi, mom ki tarah jaan se to nahin maar rahe...",sadness
108,mummy ji ne aapko marne ki koshish ki?,neutral
109,tum monisha ke kapde pahan ke khade the? haan to kyun?,neutral
110,"mere paida hone se pahle sahil bhai, wo teesra bachcha nahin chahti thi. wo mujhe paida hone dena nahin chahti thi!",sadness
111,what nonsense rosesh?,anger
112,aisa khat mein likha hai unhone,sadness
113,to mom ke pass us baat ka koi explanation hoga rosesh.,neutral
114,lekin unhone aisa socha hi kyon?,sadness
115,rosesh unhone sirf esa socha hai kiya to nahin na?,anger
116,han rasesh bhaiya dekhiae na main apna purana kurta kitni bar fenk dene ka sochti hoon lekin fekti thodi hoon,neutral
117,monisha tumhare phate hue kurte mein aur rosesh mein thoda fark hai.,neutral
118,koi fark nahin hai sahil bhai. main bhi phat chuka hun is purane kurte ki tarah!,sadness
119,aur donon ka colour bhi same hai. dekho. off white.,neutral
120,see the coincidence!,sadness
121,are han! rosesh me sirf hook nahin hai...,anger
122,momma aap mujhse dur hi rahe to behtar hoga,sadness
123,batao phool khushbu se dur rah sakta hai?,neutral
124,yah line seriously middle class nahin hai?,contempt
125,han hai. lekin maine socha ki agar main thoda poetic language main tumse baat karun to... lekin batao na phool khushbu se dur ho sakta hai?,neutral
126,"phool aur khushbu ek dusre se dur rah sakte hain momma, agar phool plastic ke ho to.",sadness
127,nahin nahin please baby apne aap ko plastic ka phool mat kaho,sadness
128,momma plastic ka phool maine aapko kaha hai. main to bloody fool hun! jo itne salon se soch raha tha ki kisi ko jarurat ho na ho lekin meri momma ko meri jarurat hogi,sadness
129,han to hai na beta hai,neutral
130,aap jhooth bol rahi hai momma. aap to mere paida hone ke pahle hi...,sadness
131,rosesh baby wo to sirf ek khayal tha.,neutral
132,matlab khyal tu aaya tha na mera khoon karne ka,sadness
133,rosesh please don't exaggerate. uss waqt meri tabiyat bahut weak thi. dr. jhunjhunwala ne to kaha bhi tha ki teesra bachcha hone mein meri jaan ko khatra hai!,neutral
134,matlab aapane apni jaan bachane ke liye meri jaan...,sadness
135,"jo sawal apne dad se kiya vahi sawal main aapse karta hun momma, agar bhagwan aap se poochenge ki kisi ek ki jaan ko dena jaruri hai, to aap meri hi jaan dengi na?",sadness
136,"no no i swear baby no! never! mein tumhari jaan kabhi na deti! main bhagwan ko samjhati ki bhagwan rosesh to aap hi ki den hai duniya ko, aap uski jaan mat lijiye. uske badle samne ke ghar ko dekhiye. vahan ek jaan hai jo sara din bhains ki tarah tv ke samne padi rahti hai!",contempt
137,monisha bhabhi ki baat chhodiye. lekin use waqt to aapane apni hi jaan ki parvah ki thi na momma!,neutral
138,"main na karti rosesh, lekin sahil aur sonia chote chote the aur bai kam chhod kar ke chali gai thi. main khud un donon ko school le jaya karti thi. aur jab hamari gadi kharab ho gai to maine taxi se safar kiya hai lekin uff tak nahin ki. fir part time nauker kam chod ke bhag gya! to maine unke kapde istri kiye hain. inn taklifo ke beech jab mujhe pata chala ki mujhe teesra bachcha hone wala hai, to main qubool karti hun ki ek second ke liye mere man mein yah vichar aaya, to kya maine gunah kiya?",sadness
139,sorry main ab yahan nahin ruk sakta,sadness
140,tu kahan jaaoge tum?,sadness
141,wahin jahan kisi ko meri jarurat ho.,neutral
142,tumhari kise jarurat hogi? i mean kisi na kisi ko to hogi jarurat magar kise?,neutral
143,wo to waqt aane par aur ad aane per pata chal jayega momma.,sadness
144,ad?,surprise
145,.hahaha. can you imagine sahil do ghante tak rosesh kismi ko apne drama ke dialogue sunata raha dhadak dhadak dhadak. hahaha,joy
146,vah to theek hai dadi ji zara ye sochiye agar kismi ka ghar kisi kabristan ke pass hota to?,neutral
147,to kya. rosesh ko dialogue bolane ki jarurat hi nahin padati. woh chupchap kismi ke samne baitha rahata vah aur apne aap kabristan ka feel aa jata,joy
148,hahaha. safed bhoot kahin ka. hahaha,joy
149,sahil bhai dad?,neutral
150,ayy dekho dekho,neutral
151,monisha bhabhi,neutral
152,dekho monisha gaur se dekho,neutral
153,kya kya kya,neutral
154,ek minute ek minute. rosesh baith jao. baith ja aankhen badi kar ab dad ko gauro. dant nikal ke.aaa yah dekho hain same to same,joy
155,haan. same,neutral
156,kya hua aap sab aise gore kyon rahe? mujhe sharm aa rahi hai,joy
157,oh ho bhoot sharma ra ha hai. hahaha,contempt
158,achcha yah bata to dauda dauda kyon aaya yahan?,neutral
159,are haan. kismi aayi hai kya yahan?,neutral
160,kismi toh mummy ji ke sath gai hai na naukari ka interview dene?,neutral
161,raste mein momma ko sarita aunty mil gai vah unhe hi hello kar ne lagi gi kismi gayab,neutral
162,gayab?,surprise
163,this is the limit indu. are madhubhai is tarah se apni bhatiji ko hamare yahan kaise chhod sakte hain,contempt
164,isme kya harj kya hai maya,neutral
165,indravardhan kunwari ladki hai vah. i mean hum responsibility kaise le sakte hain? hamare ghar mein ek handsome young kunwara ladka hai,neutral
166,chhat main kunwara kahan hun.,joy
167,main rosesh ki baat kar rahi thi,anger
168,han rosesh kumara hai per vah handsome kahan hai,neutral
169,oh cut it out indu in any case mujhe rosesh ki fikar nahin hai. vah aisi mani ben made in jaipur jaisi ladki ke samne aankh uthakar bhi nahin dekhega,contempt
170,naturally tum uski aankhen nahin noch logi,contempt
171,well there's that but the point is the rosesh is not a problem. lekin vah ladki kal kuchh ulta sulta ho gaya to fir,neutral
172,"are don't worry maya, ya kismi is kasam ki ladki nahin hai",neutral
173,tumhen kaise pata ho sakta hai ki vah pagal ho yah serial killer yah...,neutral
174,maasi kya sone ki tayari ho rahi hain?,joy
175,kiss me please kisi ke kamre mein aane se pahle knock karna chahie,contempt
176,kal se knock kar ke aaungi na. kaise ho mausa,joy
177,ekadam maje mein. aaj mein jamke sounga bhai. daba ke khaya hai maya ke hathon ka bana hua mushroom masala. ,joy
178,it was mushroom de paiza indravardhan. and please healthily khaya hai bolo daba ke khaya hai is wedding receptionistacally middle class. jahan log daba ke basundi pite hai yah cutlets khate hain. not to forget  trirangi dhokala and paan. lekin i am sure tum to definitely dinner discuss nahi karne aayi hogi ho,contempt
179,nai masi. isme discuss kya karna. main to non-veg khati hi nahin na,contempt
180,excuse me kismi. yah jo mushroom hote hain na vah non-veg nahin hote,neutral
181,vo non-veg jaisa hi hota hai mausa aur mere jetpur mein haina usse billi ka top kehte hai. vah mareli sadeli gili lakadi per jab bhi nikal aata hai na mushroom kab hai na use,disgust
182,excuse me kismi. mushroom koi bimari nahin hai jo nikal kar aaye and please get to the point. tum itni raat ko yahan kyon aayi o,neutral
183,haan. masi idhar aaju baju mein railway station kahan hai,neutral
184,station? kyun?,surprise
185,vah kya hai na  ki jetpur mein mera ghar railway station ke laggo lag hai. tum mujhe hai na ki train aawar jaawar ki awaaz sunke hi sone ki aadat hai,neutral
186,ek minute ek minute kismi. iska matlab tum railway station per jakar sone ki soch rahi ho,neutral
187,na re sangi nahin per sun ke awoogi tu do ghadi aankh to lagegi na mausa,neutral
188,itni raat ko tumhen koi station nahin le ja sakta haa. ek kam karo kudi thodi der chukh chukh bolo aur so jao. ok,neutral
189,hain?,surprise
190,madhubhai ki bhatiji. hain!,anger
191,yess?,neutral
192,hello good night,joy
193,haa good night kahane ke liye tum abhi aayi ho,neutral
194,han. tum monisha ko bhi bol deti hun. monisha,neutral
195,arre shhh,anger
196,monisha,neutral
197,ayy kismi main manisha ko good night bol dunga chalo aur suno agar kal raat bhi tum bhul gai na good night bolna to parson subah aana belated good night bolna chalao,neutral
198,kaun hai sahil? kismi raat ko ek baje,surprise
199,raat ke teen baje hi monisha,neutral
200,are han meri gadi to ek hafte se band hai,neutral
201,tum ek hafte se band ghadi pahan rahi ho,surprise
202,han vah gold-plated hai na aur fir hath par bandi hui acchi lagti hai mahangi wali aur vaise bhi kareeb se kaun dekhne aata hai ki band hai ya chalu,neutral
203,high class hai haan monisha. per man lo ke kisi ne poochha bahan time kya hua hai toh,neutral
204,to main foran chuke kaise deti ho. are meri galti to band ho gai,neutral
205,solid high class idea hi monisha. hahaha. ay lekin monisha socho ke kisi sim aadami ne 2-3 bar time poochh liya to,neutral
206,yah to maine socha hi nahin kab to use shak ho sakta hai na kismi,fear
207,ooo chokriyo. chalo yah band gadi vasul vasul kal subah kheloge to chalega,neutral
208,sorry sahil bhai actually mujhe thodi madad chahie thi,neutral
209,kaisi,neutral
210,vah mujhe railgadi ki awaaz suni thi,neutral
211,alka yagnik ya udit narayan ki awaz nahin chalegi na,contempt
212,bus bus sahil bhai meri firki khinch rahe ho na,sadness
213,nahin nahin kya hai na kar meri cd ke collection mein train ki awaaz wali sidhi nahin hai,contempt
214,to ab mujhe nind kaise aaegi,sadness
215,ek kam karo abbi please sone ki ki koshish karo agar neend nahi aaye na to man mein main vah bed bakriyan 1 2 3 4 chalo chalo chalo good night,neutral
216,good night,joy
217,gayab as in thin air. sarita aur main puri building chan mari,neutral
218,kaun si?,neutral
219,embassy embassy towers uske aas paas ki sari sadke bhi dekhni hum logon ne,neutral
220,lekin aapane use naam lekar pukara? use awaaz di?,neutral
221,nahin,anger
222,common maya awaaz to lagani chahie thi na,anger
223,uska naam kismi hai indu,neutral
224,toh?,neutral
225,sarita aur main har jagah kismi kismi kahate hue khoon se to kaisa lagta?,neutral
226,koi badmash aakar ke momma ko kiss kar leta to,fear
227,right toh. i mean monisha hoti to alag baat thi. usse kis karne kaun aata. lekin main to abhi 35 ki lagti hun na,neutral
228,bhale hi aap ho 51 ki,neutral
229,yah kahana jaruri tha?,anger
230,excuse me guys! kismi ke bare mein soche oh my god sahil,neutral
231,oh my god sahil 6 bajane wale hain aur tum to jante ho embassy towers ke piche 6 baje ke bad kya hota hai,fear
232,kya hota hai?,neutral
233,up come on ab acting mat karo jaise tumhen kuchh pata hi nahin hai,anger
234,vakya mein mujhe kuchh pata nahin hai kuchh,fear
235,aaaa hahaha. monisha yahan per baithi hai isiliye nirdosh banne ki koshish kar rahe ho.,contempt
236,indravardhan embassy towers ke piche kya hota hai 6 baje ke bad bako!,anger
237,kuchh nahin maiya ho gunday mavali wahan chori ka mal bhejte hain. yah imported ghatiya vagaira 400 500rs mein mil jaati hai,neutral
238,right!,neutral
239,are vah. sahil chalo chalo wahan chalte hain vaise bhi meri gadi band ho gai hai chalo na,joy
240,monisha,anger
241,aur kism bhi toh kho gai hai. haina,neutral
242,hello everybody,joy
243,oh my goodness madhusudan fufa. koi nahin bataega kismi kho gai hai,fear
244,hello madhu bhai aap cold coffee piyenge yah french champagne?,joy
245,hain?,neutral
246,maya. french champagne ghar mein hai?,neutral
247,bolane mein kya jata hai unhen sunai thodi de raha hai,neutral
248,yess?,neutral
249,namaste,neutral
250,aap kon?,neutral
251,kismi,neutral
252,excuse me,surprise
253,mera naam hai. woh chocolate aati thi na meethi meethi godi godi. use pese rakha.,joy
254,hi maya,joy
255,madhubhai aaye aaye. bahut dino baad.,neutral
256,"maya ya mere bhai moti lal ji ki chhoti beti, kismi.",neutral
257,iska naam sachmuch kismi hai,contempt
258,nahin nahin iska naam kismi hai,neutral
259,dids ne abhi vahi tu kaha mr,neutral
260,henh?,neutral
261,dids ne abhi wahi kaha,neutral
262,maya ya sahil ne ladki ke kapde kyon pahne hain?,neutral
263,nahin nahin madhupushpa yah sahil nahin hai yah mummy ji ki bahan hai naisha mausi,neutral
264,han han jarur launga. lekin yah sahil ne ladki ke kapde kyon pahne hai?,neutral
265,madhu bhai aap baithie na. inne kuchh bhi nahin sunai deta. baithiye madhu bhai,neutral
266,trivennum!,neutral
267,what?,surprise
268,madhubhai baithi aap please,anger
269,kisme aao na tum bhi baitho,joy
270,madhu kaka high class  hai inka ghar,neutral
271,haan! are maiya bade jatan se rakhti hai apne ghar ko,neutral
272,han vah to dikhi raha hai,neutral
273,dikhta hai na toh!,joy
274,mamma mia ji kitna easily communicate kar rahi hai madhu bai ke sath,surprise
275,hain?,neutral
276,madhubhai yahan kaise aana hua,neutral
277,nahin nahin khichdi aur kadhi banakar gai hai ila,neutral
278,kaka ye poochh rahi hai yahan kaise aana hua?,neutral
279,ooo! maiya meri bhatiji jaidpur se mumbai ayi hai. kaam kaaj dhundhne ke liye,neutral
280,achha kis tarah ka kaam kaaj?,neutral
281,aaj? aaj to kitchen repair karenge vah log. lekin yah sahil ne ladki ke kapde kyon pahne hai?,neutral
282,kaka yah sahil bhai nahi hai. yah inki bahan hai,neutral
283,oo maiya ye tumhari bahan hai ?,surprise
284,naisha,neutral
285,lekin kisme ne to kaha ki tumhari bahan hai,neutral
286,madhubhai yah. over to kisme,anger
287,kaka inka naam hai naisha,neutral
288,ooo naisha,neutral
289,are vah mummy ji yah ladki to champion hai,joy
290,main kaka ke yahan rahane aayi hoon per ke yahan repair chal rahi hai na. to vah mujhe yahan chhodake jale hain,neutral
291,what?,surprise
292,haan.zyada nai en do mahine ke liye,neutral
293,ek do mahine. madhubhai that's not possible hah.,fear
294,thank you maya,joy
295,oh my god madhubhai over to kismi. samjhao please,neutral
296,kaka yah kah rahi hai main yahan nahin rah sakti,sadness
297,achcha kyon?,surprise
298,achcha kyon ?,neutral
299,main sun sakti hun thank you,contempt
300,han batao na kyon,neutral
301,kyunki ki naisha yahan hai na,joy
302,dids main to aaj hi ja rahi hun sham ko. punjab mujhe yad a raha hai vahan hare hare kheton mein main aur jugalkishor duet gaaye gay. tujhe dekha to yeh jaana sanam,joy
303,naisha band karo apna ye punjab tourism. now enough naisha,anger
304,tujhe dekha to ye jana sanam,sadness
305,bass,anger
306,alright!,anger
307,lekin kisme yahan kyon nahin rah sakti maya,neutral
308,vahi main sochne ki koshish kar rahi hun madhu bhai.,neutral
309,hain?,neutral
310,hi everybody! hi naisha! ,joy
311,jiju,joy
312,oh my god hain hain kumar,fear
313,ayyy indu? yah meri bhatiji yahan rah sakti hai kuchh dinon ke liye.,neutral
314,sir kya hila rahe ho,anger
315,are kuchh bolunga to fir yah hain hain karenge,anger
316,arre per yun bhi to kar sakte ho na main,anger
317,aisa karta to fir vah kahate kyon nahin rah sakti fir main jawab deta to vah fir se kahate hain hain. isliye maine,contempt
318,kaka masa ne haan kaha,joy
319,hash,joy
320,rosesh bhaiya! chai pi lijiye,neutral
321,kahan hogi vah is waqt,neutral
322,are vahi table per hi to padhi hui hai,neutral
323,mai kismi ki baat kar raha hun bhabhi,neutral
324,umm. sab gaye hain na kismi ko dhundhne ke liye. chaliye aap chai aur kormore kha lijiye chaliye. are han usmein kuchh jale hue kormore bhi hai. unhen side mein kar lijiyega han,neutral
325,mujhe nahin khane ja,disgust
326,sare ke sare nahin chale hue hain dekhi na kuchh yellow wali bhi hai. main chunke dun,neutral
327,vah baat nahin hai bhabhi mein bus pahunch raha hun ke kismi ko bhi to bhookh lagi hogi,neutral
328,to vahan per jethalal pani puri wala hai na saade pani ki pani puri ke 18 rupaye per plate. aur mineral water ke pani puri ke 30 rupaye per plate. aur pata hai hai jethalal se jyada zidd karo na to do pani puri free mein bhi deta hai,joy
329,lekin kismi ke pass paise nahin honge toh? ,neutral
330,to vah free wali pani puri pahle mang legi aur kahegi ki actual plate bad mein khaungi,joy
331,vah gaon ki bholi ladki hai bhabhi vah kya kisi se free mein pani puri mangi thodi si madad mangne mein tu itni hich kicha rahi thi raat ko,neutral
332,raat ko?,surprise
333,han kal raat ko mere kamre mein aayi thi,joy
334,"indu tum rosesh ko mai chai banati hun. are tum yahan kyon so rahe ho rosesh, rosesh sweety",surprise
335,sony dijiye na momma raat bhar nahin hua,sadness
336,kyun ,surprise
337,kismi ne sone hi nahin diya,neutral
338,kya kar rahe the tum dono raat bhar? kahan hai kismi?,anger
339,vah mere bedroom mein hai bichari,neutral
340,vah bichari nahin hai tum idiot ho. come on wake up. kismi! kis,anger
341,good morning masi,joy
342,i demand an explanation kismi tum rosesh ke kamre mein kya kar rahi thi?,anger
343,main vahan so rahi thi masi thik thak nind a gai. rosesh ki madad se,joy
344,rosesh,neutral
345,mama isko train ki awaaz unke sone ki aadat hai na,neutral
346,haan toh,neutral
347,"koi yad hai use hindi natak mein, ay musafir tera order de veg ya non veg. jis natak mein mein train ka second class dibba vah banaa tha",neutral
348,han yad hai badi cute lag rahe the tum first class dibba hote to aur bhi achha hota but so?,neutral
349,usmein mera dialogue tha na dhadak dhadak dhadak dhadak dhadak ooooooo f,neutral
350,train ki awaaz sunte hi aankhen jhokha khane lagi thi masi,joy
351,maya,neutral
352,kaka kaka mujhe yahan chodne ke liye bahut bahut thank you. yah log bahut acche hain,joy
353,don't be silly,joy
354,rosesh,anger
355,hahaha. pure 10 minut tak main vah dialogue bolata raha tab jake sooyi,joy
356,aila,joy
357,aur woh jara bhi ooo aaa karti thi to main turant shuru ho jata tha. dha dha,joy
358,shukr hai aapko aapki yah wale dialogue to yad the,neutral
359,mujhe to interval ke bad wale dialogue bhi yad the,neutral
360,hello everybody dekho mujhe kaun mila,anger
361,kismi!,surprise
362,kismi! kahan chali gai thi tum pata hai sab kitna pareshan the,anger
363,woh main,sadness
364,batao batao kahan chali gai thi tum,anger
365,hua main thoda sa shopping karni chali gai thi novelty store mein 40 taka discount chal raha thana vahan,sadness
366,isiliye bagair kuch kahen bagair kuch soche samjhe madam shopping karne nikal padi,anger
367,akele akele,sadness
368,very bad kismi. agar tumhen kuchh ho jata to main toh sara dosh tum per hi dalta ki tumne hi laparvahi bharti hai,anger
369,i mean shopping ke bagair nahin rah sakti ki tum,anger
370,"masi per actually main apne liye nahin aap sab ke liye shopping karne gayi thi. haan yah dekhiae aapke liye talcum powder, phir body spray sahil bhai ke liye fir ya rumal masa ke liye aur yah monisha ke liye",joy
371,purse mere liye!,joy
372,han han ismein peppermint aur chocolate bhi hai,joy
373,thank you!,joy
374,aur yah pan rosesh ke liye hamesha aise hi train wale dialogue likhate rehna han rosesh,joy
375,thanks! tumne apne liye kuchh nahin liya,neutral
376,hi dad!,neutral
377,oh hi sahil! drink logay,neutral
378,aaj aap fir pi rahe ho?,anger
379,roz thodi pita hun,neutral
380,kal bhi aapane pi thi,anger
381,do peg piti sirf,anger
382,parso aapane vodka pi thi,neutral
383,ghar par party thi na,neutral
384,tarson apne dinner baby pi thi,neutral
385,are 3 glass white wine pithi it went with the dinner,neutral
386,uske agale din aapane ramona ke wedding reception per bhi pi thi. uske pahle aapane club ke party mein bhi pi thi. uske pahle natwar chacha ki shok sabha mein nahin pi thi,contempt
387,dekha kaha tha na ki main roj thodi pita hun,neutral
388,aap roj thodi nahin thodi jyada pite hain. dad it's not good for health. why don't you try to understand,anger
389,"oh hello hello male maya please! mushkil se maya se chhutti mili hai vah to sham hote hi shuru ho jaati hai, what is this indra vardhan fir drink karne ke baith gaye isase achcha chalo na walk per chalte hain",contempt
390,toh?,neutral
391,achcha tu hi bata agar tujhe drinking aur biwi ke sath walk main jaane mein choice mile to to tu kya choose karega? bol bol,neutral
392,toh.,neutral
393,haan?,neutral
394,meri baat chhodiye na,neutral
395,kyon?,anger
396,main young hun dad mein drinks hazam kar sakta hun.,neutral
397,haan toh mein bhi fit hun rosewalk karta hun,neutral
398,achcha?,neutral
399,ghar mein,neutral
400,achcha ghar mein?,surprise
401,han. char bar ise lene uthta hun soda laane khud chahta hun fridge tak aur vahan se wapas lekar aata hun,neutral
402,dad aap argument karna chahte ho to fine. have it your way after all it's your life,neutral
403,cheers!,neutral
404,by the way mom kahan hai?,neutral
405,are han woh hamari wedding anniversary ki party ki taiyari karne gai hui hai us club,neutral
406,aur rosesh?,neutral
407,woh apni momma ki har baat pe yes momma ye momma karte sath gaya hua hai,contempt
408,bye. han aapke khane ka kya ?,neutral
409,are han.? sahil tumhare ghar kya khana banaa hai?,neutral
410,subah ki daal hai. aur. daal hai bus,neutral
411,main yahi khaunga,neutral
412,monisha ghasitaram se chole bhature lekar a rahi,joy
413,dinner at 9:30 at your house fixed.,joy
414,haha i thought as well. baki aap ki or se wedding anniversary ki sari planning?,neutral
415,sari planning ho gai hai chill,neutral
416,great toh monisha chhole bhature lekar a rahi hai,neutral
417,ok ok vah this is called life. jab main khud apni company hun toh mujhe jarurat kiski. kaju badam pune ka chivda ice soda and whiskey. hahaha arre yah to kavita ho gai i must jot it down,joy
418,puri hui teri jindagi puri hui hai teri jindagi chalna padega aaj dharti se le jaane tere pran aaye hai swayam yamraj. aaye hain swayam yamraj,neutral
419,yamraj,fear
420,tujhe lene aaya hun indravardhan.,neutral
421,daddy ji dekhiae main aapke liye kya lai hun ghasitaram ke chhole bhature,joy
422,han magar woh chale gaye,fear
423,kaun? kaun chala gaya,neutral
424,now darling. tum shayad koi sapna dekha hoga,neutral
