,utterance,emotion
896,ठीक है यह सिर्फ यही कारण है कि मैं पूछ रहा हूँ क्योंकि मैं eh uh मैं नहीं कर सका मैं वास्तव में चाहता था लेकिन मैं चाहता था,fear
897,वहाँ huh,fear
899,क्या आप जानते हैं,surprise
901,क्या आप करते हैं,surprise
904,क्या आप चाहते हैं,fear
906,हां  से  तक के पैमाने पर  एक व्यक्ति को देख सकता है आप निश्चित रूप से  हैं।,disgust
907,वास्तव में कैसे पुराना,surprise
908,युवा तुम अब बदलाव हो जाओ क्योंकि हर कोई तैयार है और कृपया ओह कृपया मेरी अंडरवियर रखें,disgust
909,और वे इसके बारे में जानते थे,surprise
910,ओके अच्छी तरह से रॉस यह वास्तव में क्या है,surprise
911,देखो यह मेरा घर है और मैं जब भी मैं चाहता हूँ आने और जाने में सक्षम होना चाहता हूँ,anger
912,ठीक है मुझे अपनी बाकी नियुक्तियों के लिए कुछ जगह मिल जाएगी। मैं सिर्फ इतना नहीं जानता कि क्या बड़ा सौदा है,anger
920,हे,joy
926,बेहतर आप अपने अंडरवियर में एक संग्रहालय में नहीं जा सकते,joy
927,ओह मुझे यकीन है कि ब्रिटिश संस्करण gooood है,joy
932,कोई भी राजा को नहीं देखता,anger
934,हे आप क्या कर सकते हैं,surprise
935,हे मेरे परमेश्वर।,surprise
938,ठीक है मैं दयालु कुकीज़ बेचने के लिए चाहता था। जो लड़की सबसे ज्यादा जीत बेचती है वह स्पेसकैम्प की यात्रा करती है और एक में बैठने के लिए जाती है,sadness
939,Wow you ah,surprise
946,अब आप चाहते हैं कि पैसे वापस,surprise
952,क्या कोई फर्क नहीं पड़ता मैं कभी भी उसे कभी भी पूरा नहीं कर पा रहा हूँ।,sadness
954,क्योंकि उसके अपार्टमेंट को ढूंढना असंभव है वह गर्म लड़की समानांतर ब्रह्मांड या कुछ की तरह रहता है।,sadness
955,आप किस बारे में बात कर रहे हैं वह स्पष्ट रूप से दूसरी मंजिल पर रहती है बाईं ओर सातवां अपार्टमेंट,surprise
959,क्यों क्या आपके पास वहाँ के जवाब हैं,surprise
961,आओ,joy
973,हाँ आओ हम लोग हो सकते हैं,joy
974,आप जानते हैं कि तुम सिर्फ़ ऐसा करने से रोकते हैं और उन लोगों को बंद कर देते हैं और आप हमारे साथ आते हैं और नग्न लड़कियों को देखते हैं,anger
976,मैं,sadness
977,और क्या मैं सिर्फ महसूस किया पिछले साल मैं,surprise
978,आप getta मदद मुझे यहाँ तुम मुझे सेट अप तुम मुझे वापस खेल में मिल गया।,fear
984,और दो बार हम बाहर निकल गए थे सिर्फ सादे अजीब थे।,disgust
986,मेरा मतलब है कि क्या मैं मतलब हूँ,disgust
987,यही कारण है कि सभी को Disarray में wig और boobs रात स्टैंड yknow पर flung।,disgust
990,मुझे विश्वास है कि मैंने कहीं पढ़ा,surprise
991,यह केवल हास्यास्पद नहीं है यह शारीरिक रूप से असंभव है,anger
992,यह मजेदार नहीं है,anger
993,,anger
995,मुझे विश्वास नहीं है कि आप मेरे पूर्व छात्र पृष्ठ पर डाल सकते हैं,anger
998,क्या है रॉक,surprise
999,इसलिए चट्टान।,disgust
1000,मैं वास्तव में इस अपार्टमेंट को याद कर रहा हूँ। Yknow BenBen ने वहाँ पर अपना पहला कदम उठाया।,sadness
1001,ओह हे याद रखें कि जब मैं इस बात में भाग गया और किना ने मुझे थोड़ा बाहर कर दिया,joy
1002,मैं इस जगह से प्यार करता हूँ आपको सच बताने के लिए मैं चाहता हूँ कि मुझे नहीं जाना था।,joy
1003,क्या आप इस बारे में पूरी तरह से खुश नहीं हैं,surprise
1004,ठीक है मैं मतलब अगर उह अगर Emily मुझे एक विकल्प दिया,sadness
1007,हे तुम लोग मैं giiiift दुकान में क्या पाया जाओ जाओ जाओ,joy
1013,यही कारण है कि आपके बेटे के साथ कैरोल,surprise
1014,सुबह Sunshine यहाँ है आकाश स्पष्ट है सुबह सुबह,joy
1015,ओह सुबह सुबह सुबह यहाँ है Sunshine यहाँ है,joy
1017,क्या आप बच्चे हैं मैं उस आदमी से प्यार करता हूँ सुबह सुबह यहाँ है,joy
1020,मैं मैं,sadness
