,Unnamed: 0,Translated_Utterance,Emotion
87,105,ठीक ठीक अंत में एक फोन भुगतान किया गया है।,joy
88,106,हालांकि आप एक अच्छा बॉब इंप्रेशन करते हैं मैं सोच रहा हूँ कि जब वह आपको याद आती है तो वह शायद महसूस करती है हाय आप बॉब नहीं हैं।,neutral
89,107,मैं उम्मीद कर रहा हूँ कि जब बॉब नहीं दिखा रहा है तो वह अगले टेबल पर रोया अजनबी के खुले हथियारों में आराम की तलाश करेगी।,neutral
90,108,हे मेरे देवता। आप शुद्ध बुराई हैं।,disgust
91,110,कोई नहीं,anger
92,111,कोई भी बाल्टी का सम्मान नहीं करता,anger
93,113,देखो,anger
94,114,क्या यह आपके लिए एक कचरा जैसा दिखता है,anger
95,115,नहीं,neutral
96,116,यह मेरी शादी है।,neutral
97,118,ठीक जब हम वापस आते हैं तो आप इसे वीडियो पर देख सकते हैं।,neutral
98,119,यहां आप पाउबे जाते हैं यहाँ आप Phobo जाओ Fewbedo फैबोबो,joy
99,120,धन्यवाद।,neutral
100,121,धन्यवाद।,neutral
101,122,सब ठीक है चलो बाय Feebs,joy
102,123,Bye Pheebs,joy
103,124,लंदन,joy
104,125,क्या आपको ह्यूग की आवश्यकता है मुझे कुछ भी नहीं मिला,joy
105,127,हे इसलिए एस्टेले ने कल मेरे लिए ऑडिशन का एक गुच्छा तैयार किया और मैं अपने स्वास्थ्य बीमा को वापस नहीं लेगा।,joy
106,129,क्या,surprise
107,131,नहीं,neutral
108,132,ठीक है मैं अपने पेट में इस अंधापन दर्द को मिला जब मैं पहले वजन उठा रहा था तो मैं उह से बाहर हो गया और उह क्या हुआ तब से खड़े होने में सक्षम नहीं रहा।,fear
109,133,लेकिन क्या मुझे नहीं लगता,neutral
110,134,यह हर्निया की तरह लगता है। आपके पास क्या है,surprise
111,135,नहीं अगर मुझे डॉक्टर के पास जाना है तो क्या,fear
112,137,मुझे फिर से काम करना क्यों था आप s,anger
113,138,मैं तुम्हारी जगह प्यार करता हूँ यह लड़का कहां से है,joy
114,139,उह कलकत्ता से अठारहवीं सदी के भारतीय कलाकृति।,neutral
115,140,ओह वाह इसलिए आप सिर्फ डायनासोर से अधिक हैं।,surprise
116,141,बहुत कुछ,neutral
117,142,ठीक है अच्छी तरह से योग करने के लिए हम मज़ा कर रहे हैं तुम युवा देखो।,neutral
118,143,ओके,neutral
119,144,लेकिन यह पर्याप्त नहीं है। To make a key to my अपार्टमेंट,neutral
120,145,वास्तव में,surprise
121,146,वास्तव में।,neutral
122,147,आप नहीं सोचते कि यह बहुत तेज है।,neutral
123,148,बाहर जाओ,anger
124,149,रॉस क्या मैं आपसे एक मिनट के लिए बात कर सकता हूं,neutral
125,150,हाँ कृपया तो क्या चल रहा है,neutral
126,151,Uh well जो और मैं टूट गया।,sadness
127,152,क्या हुआ,surprise
128,153,Joey एक महान आदमी है लेकिन हम सिर्फ इतना अलग मेरा मतलब है अपने भाषण के दौरान उन्होंने समलैंगिकता पर हंसते हुए कहा,sadness
129,155,वैसे भी मैं सिर्फ उह मुझे लगता है कि यह सबसे अच्छा है।,sadness
130,156,क्या तुम ठीक हो,neutral
131,157,मुझे लगता है।,sadness
132,158,वहाँ एक और कारण था कि मैंने सोचा कि यह जॉय के साथ समाप्त करने के लिए समय था।,neutral
133,159,मैंने यह महसूस करना शुरू कर दिया कि मुझे किसी और के लिए भावनाओं थी।,neutral
134,160,ओके गेलर सम्मेलन का अंतिम दिन आपको पता है कि कुंजीनोट स्पीकर क्या होता है।,neutral
135,161,ओह प्रोफेसर क्लर्क हम एक बातचीत के बीच में टाइप कर रहे हैं यहां।,neutral
136,162,हाँ क्या आप लोग उसे बाद में पूल में फेंक सकते हैं,neutral
137,164,ठीक है,anger
138,165,कृपया,anger
139,166,क्या हम इसके लिए थोड़ा पुराना नहीं हैं,anger
140,169,सबसे महत्वपूर्ण बात यह है कि आप पहले हमें पकड़ना होगा।,joy
141,170,।,neutral
142,171,जाओ जाओ जाओ,joy
143,172,जाओ जाओ जाओ,joy
144,173,ओह हाँ अब हर कोई इस टोपी के नीचे होना चाहता है,joy
145,175,क्या,surprise
146,176,ओह हाँ बॉब ने कहा कि बाढ़ की क्षति हो सकती है।,neutral
147,177,या तो या उसके पास वास्तव में बड़ी बिल्ली है।,neutral
148,178,ठीक है यह देखते हैं कि अंधा लड़का कहां है मैं बाद में अपने सिर को तोड़ रहा हूँ।,anger
149,179,ओह उम मेरा बड़ा दृश्य आ रहा है। बड़ा दृश्य आया।,joy
150,180,यदि आपने कहा है बिग लीमा बीन bubbling ऊपर। क्या वह अंतर को समझती है,neutral
151,181,Rach आप क्या कर रहे हैं,neutral
152,182,ओह बॉय मैं सिर्फ नहीं देख सकता। यह बहुत डरावना है,fear
153,183,यह एक डायपर वाणिज्यिक है।,neutral
154,184,ओह योआ अच्छी तरह से आप मुझे पता है शिशुओं जिम्मेदारियों आह,fear
155,185,पिज्जा डिलीवरी,joy
156,186,मैं इसे प्राप्त करूँगा मुझे लगता है,joy
157,187,हाय,joy
158,188,हाय,joy
159,189,हे आप खाने या उह के लिए कुछ प्राप्त करना चाहते हैं क्या आप यह देखना चाहते हैं कि हम इस गेंद को वापस कब तक फेंक सकते हैं हुह,neutral
160,190,उह गेंद बात।,neutral
161,191,हाँ,neutral
162,192,हे रॉस यह महान नहीं होगा अगर हम इसे छोड़ने के बिना दो सीधे घंटे जा सकते हैं,joy
163,193,उह,neutral
164,194,नमस्ते,joy
165,195,उहओह,fear
166,196,क्या,neutral
167,198,मैं नहीं सोचा था कि हम इसे बनाना चाहते थे,surprise
168,199,मैं जानता हूँ क्या हाथ स्विच नहीं करते हैं,fear
169,200,हे,neutral
170,201,हे,neutral
171,202,यह कैसे एरिन के साथ जाना था,neutral
172,203,ओह अविश्वसनीय हम सबसे अच्छा समय था,joy
173,204,जय क्या आप अभी नहीं जानते,joy
174,208,तुम लोग बिल्कुल सही थे,joy
175,209,पहली बार जब हम बाहर निकल गए तो यह बहुत बेहतर है।,joy
176,210,क्या,neutral
177,211,यह इतना अजीब था हम वास्तव में तंत्रिका थे।,neutral
178,212,क्या आप एक साथ सो रहे हैं,neutral
179,213,हाँ यह वास्तव में मुझे शांत करता है।,neutral
180,215,हमारे पास बहुत आम है,joy
181,217,हे मेरे परमेश्वर क्या आप बच्चों के बारे में बात करते हैं ओह मेरा जो ओह कृपया मुझे क्या करना चाहिए,surprise
182,218,ओके,neutral
183,219,वह कैसे करती है,surprise
184,220,मैं सार्वजनिक स्थान पर नहीं रह सकता।,neutral
185,222,ओह क्या हाय।,surprise
186,223,यह ठीक है yknow तुम सिर्फ फिर से बंद कर दिया।,neutral
187,224,आपके साथ क्या चल रहा है,surprise
188,225,मुझे नींद नहीं मिली,anger
189,226,क्यों,neutral
190,227,मेरी दादी के पास यह नया प्रेमी है और वे दोनों तरह के बिस्तर में असुरक्षित हैं।,disgust
191,228,ओह और बहरा।,neutral
192,229,इसलिए वे लगातार होते हैं जैसे कि एक दूसरे को आश्वस्त करने के लिए कि उनके पास अच्छा समय है।,neutral
193,230,आपके पास कोई विचार नहीं है कि वे कितनी ज़ोर से हैं,disgust
194,231,ठीक है अगर आप चाहते हैं तो आप राहेल और मुझे रात के साथ रह सकते हैं।,neutral
195,232,धन्यवाद।,joy
196,233,Ew क्या है कुछ विस्फोट,disgust
197,234,यह सिर्फ उसका पानी तोड़ने वाला है। क्या आप नीचे गिर सकते हैं,neutral
198,235,क्या आप जानते हैं क्या है,surprise
199,236,साँस लेना साँस लेना साँस लेना।,neutral
200,237,क्या आप पागल हैं मेरा मतलब है जॉय आपको मारने जा रहा है वह वास्तव में आपको मृत घोषित करने जा रहा है।,surprise
201,239,आप किस तरह जानते हैं,surprise
202,241,मेरा मतलब है यह जीना था,neutral
203,242,Gina कौन है,neutral
204,243,डार्क बड़े बाल हवाई जहाज की बालियां के साथ।,neutral
205,244,नहीं नहीं कि,neutral
206,245,आप देख सकते हैं नहीं बताओ कि कौन क्या है,surprise
207,246,मैं नहीं जानता तुमने सोचा कि आप शनिवार,neutral
208,247,देखो शहद मार्क फैशन ओके में है मुझे एक दोस्त होना पसंद है जो मैं इस सामान को साझा कर सकता हूं।,neutral
209,248,आप कभी मेरे साथ एक व्याख्यान में नहीं जाना चाहते हैं।,neutral
210,249,Pahaa मैं आपसे प्यार करता हूँ।,joy
211,250,वास्तव में,surprise
212,251,Yeah hey II कपड़े है मैं भी उन्हें बाहर लेने के लिए।,neutral
213,252,मेरा मतलब है कि आप सभी जानते हैं कि मैं एक फैशन हो सकता है।,neutral
214,253,ओके मैं तुम्हारे लिए मेरे साथ जाने के लिए प्यार करता हूँ। क्या,joy
215,254,मुझे क्या पहनना चाहिए,fear
216,255,मैं जानता हूँ कि हमने ऐसा किया था  हे,joy
217,256,मुझे पता है यह अद्भुत था मेरा मतलब है हम पूरी तरह से इसे नाखूनित करते हैं यह सुंदर था।,joy
218,257, धन्यवाद सुनो बहुत धन्यवाद Tribbiani धन्यवाद। हे मेरे परमेश्वर उस समय को देखते हुए मुझे बस को गेंद पर पकड़ना पड़ा।,joy
219,259, हाँ।,neutral
220,260,जब तक आप फिर से Foxtrot अभ्यास करना चाहते हैं या फिर टैंगो,neutral
221,261, अहम धन्यवाद लेकिन नहीं। मुझे लगता है मैं मैं लड़कियों के साथ नृत्य करने के लिए तैयार हूँ।,neutral
222,262,ओके,neutral
223,263, हाँ।,neutral
224,264,जाओ जाओ,neutral
225,265, सही हे ahh आप आना चाहते हैं मार्ज एक प्रेमिका है।,neutral
226,266,वास्तव में,surprise
227,267, हाँ आप उसके साथ वास्तविक अच्छा नृत्य कर सकते हैं वह मेरे समान आकार का है।,neutral
228,268,नहीं मैं,neutral
229,270,खैर दुर्भाग्य से मुझे कई कॉलबैक नहीं मिलते हैं,neutral
230,271,क्या यह एक अच्छा संकेत है कि उन्होंने हमें ऑडिशन के बाद लटकाने के लिए कहा,surprise
231,272,कौन जानता है,neutral
232,273,ओके उह हमने इसे रेमंड बेन Kyle और Joey को संकुचित कर दिया है। आप के बाकी बहुत धन्यवाद।,neutral
233,274,हाँ मुझे पता था बाई लंबे समय तक बाद में,joy
234,275,ओह मैं वास्तव में बेन के पिताजी खेलने के लिए हो सकता है,joy
235,276,हाँ,joy
236,277,वास्तव में ऐसा नहीं हो सकता।,neutral
237,278,हाँ क्योंकि आपके पास ऐसा अलग दिखता है हम आपको बेन के साथ रेमंड और किले के साथ डाल रहे हैं।,neutral
238,279,तो तुम दो या दो हो।,neutral
239,281,हाँ यह है।,neutral
240,282,नहीं हम सबसे अच्छे दोस्त हैं यही कारण है कि यह अजीब क्यों है।,neutral
241,284,ठीक है ठीक है ठीक है नमस्ते ठीक है यहाँ कुछ है यहाँ कुछ नीला और नया है।,joy
242,288,और यह तुम सब के कारण अद्भुत अद्भुत तुम,joy
243,289,मुझे लगता है कि तुम क्या हुआ,fear
244,290,नहीं मैं धन्यवाद।,joy
245,291,आपका स्वागत है मैं क्या मैं तुम्हें चोट लगी,fear
246,293,वाह यह बात दिलचस्प थी मुझे नहीं पता कि क्या फीबे और डेविड के साथ होता है।,surprise
247,295,ठीक है मुझे लगता है कि यह कुछ प्रकार का शब्द है क्योंकि आप बेरहमी से नियंत्रित चमक के साथ गुलाबी हैं।,neutral
248,296,डेविड पोबे का प्रस्ताव करने जा रहा है।,joy
249,297,क्या क्यों,surprise
250,299,चांदलर ने इस बारे में बात की है।,anger
251,300,आपको लोगों को सलाह देने की आवश्यकता नहीं है,anger
252,302,I,neutral
253,303,वे केवल कुछ हफ्तों के लिए बाहर जा रहे हैं और फीबे पूरी तरह से माइक पर लटका दिया है,anger
254,306,क्या आप चाहते हैं,neutral
255,307,यह मेरे पिता पॉल स्टीवंस है। पिता यह रॉस गेलर है।,neutral
256,308,यह आपको पॉल से मिलने के लिए बहुत अच्छा है।,joy
257,309,मैं आमतौर पर एलिजाबेथ प्रेमी को मुझे श्री स्टीवंस के रूप में संबोधित करना पसंद करता हूं।,neutral
258,310,बेशक निश्चित रूप से श्री स्टीवंस।,neutral
259,311,तो रॉस क्या आपकी समस्या,anger
260,312,Ehwh,surprise
261,313,क्यों,anger
262,314,यह अजीब है। Umm यह अजीब नहीं है।,fear
263,315,I,neutral
264,316,ओके,neutral
265,317,मैं इसे देख सकता हूँ।,neutral
266,318,लेकिन मुझे लगता है कि अगर आप मुझे यूएमएम देते हैं तो मैं एक मौका दे सकता हूं मैं आपका दिमाग बदल सकता हूं।,fear
267,319,ओके,neutral
268,320,क्या,neutral
269,321,ओके मैं तुम्हें अपने दिमाग को बदलने का मौका देता हूँ। आपको एक मिनट मिला।,anger
270,322,डैडी,surprise
271,323,ठीक है यह अभी तक टीवी पर नहीं है।,neutral
272,324,ठीक है तो यह अभी तक दीवार पर नहीं है।,neutral
273,325,ठीक है मैं आपको एक टेप huh लूंगा,neutral
274,326,तो अब क्या आपके पास मैट लॉयर शायद अभी तक साफ नहीं किया गया,neutral
275,327,ओहूह,surprise
276,328,ओह हाँ मुझे यकीन है। और अचानक उसका हाथ अब तक समस्या नहीं थी।,neutral
277,329,क्या यह,surprise
278,330,ओह लड़के स्काउट्स वहाँ के तहत शिविर किया जा सकता है।,neutral
279,331,क्या,surprise
280,332,उमा थुरमैन।,neutral
281,333,ओह,surprise
282,334,अभिनेत्री,surprise
283,335,धन्यवाद।,neutral
284,336,आप क्या कर रहे हैं,surprise
285,337,आपको बताना होगा,joy
286,338,आपको बताना होगा,joy
287,342,ओह हाँ आपको उसे बताना होगा।,neutral
288,343,फेमिनिस्ट मुद्दा। मैं कहाँ गया,neutral
289,344,वह मुझे नफरत करता है।,fear
290,345,Yeah well,neutral
291,347,यह बड़ी रात है हम आपको शुभकामनाएं चाहते थे,joy
292,348,हाँ क्या आपके पास अंगूठी है,neutral
293,349,हाँ यहाँ मेरी जेब में। Pheebs,neutral
294,350,ओह,surprise
295,351,क्या आप यहाँ से बाहर निकलेंगे मैं चाहता हूँ कि यह एक आश्चर्य है और वह,neutral
296,352,Yeahyeah तुम लोग। यहाँ जाओ,neutral
297,353,हाय दोस्तों।,neutral
298,354,आप सुंदर हैं।,joy
299,355,ओह धन्यवाद क्या,joy
300,356,वास्तव में हम इस चैरिटी इवेंट के बारे में बहुत उत्साहित हैं जिसे हमें जाना है।,neutral
301,357,ओके यूएम रॉस,neutral
302,358,मैं वास्तव में गर्म हूँ इसलिए मैं अपने स्वेटर बंद करने जा रहा हूँ।,neutral
303,359,अब मैं आपको यह जानने की अनुमति देता हूं कि यह है,neutral
304,360,हाँ यह बहुत अच्छा है,joy
305,361,मुझे खेद है। मैं किया हूँ। मैं किया हूँ।,neutral
306,362,आखिरी रात भी आपके लिए शर्मिंदा थी।,neutral
307,363,नहीं वास्तव में। मेरा मतलब है कि आपने मुझे सैकड़ों बार नग्न देखा है।,neutral
308,364,उहहुह लेकिन यह मेरी बाकी इमारत के लिए पहला था।,neutral
309,365,ओके सब ठीक है यह सच है लेकिन मैं सिर्फ इतना शर्मिंदा नहीं हूँ।,neutral
310,366,क्या आप पूरी तरह से शर्मिंदा हो जाओ,surprise
311,367,नहीं मैं नहीं हूँ रॉस मुझे लगता है कि मैं सिर्फ तुम्हारे बारे में अधिक सुरक्षित व्यक्ति हूँ।,neutral
312,368,क्या ऐसा है,neutral
313,369,हाँ।,neutral
314,370,हेली लेडी क्या आप चाहते हैं नमस्कार मैं हूँ,disgust
315,371,मैं क्या कर सकता हूँ,surprise
316,372,मैंने किया,joy
317,373,मैं एक बाइक सवार,joy
318,374,मैं कभी सोचा नहीं,joy
319,375,धन्यवाद रॉस।,joy
320,376,ओह हे मुझे धन्यवाद देना धन्यवाद देना। आप क्या वह है जो उसके डर का सामना करता है और अंततः उन्हें ओवरकैम करता है।,joy
321,379,क्या आप हमारे द्वारा मतलब पर निर्भर करता है।,neutral
322,380,हे तुम दोनों लोग मेरे साथ वहाँ होना चाहिए।,neutral
323,381,मेरा मतलब है तुम दो कर रहे हैं मेरा मतलब है मैं,neutral
324,382,धन्यवाद।,neutral
325,383,मैं यहाँ पर कुछ देख रहा हूँ।,neutral
326,386,डेविड,neutral
327,387,Phoebe हाय,joy
328,388,हे मेरे परमेश्वर,surprise
329,389,वाह आप अविश्वसनीय लगते हैं।,joy
330,390,हाँ। आप यहाँ क्या कर रहे हैं,surprise
331,392,क्या हुआ,surprise
332,393,अच्छी तरह से याद रखें कि मैं परमाणु कणों के पोसिट्रोनिक आसवन को कैसे प्राप्त करने की कोशिश कर रहा था,neutral
333,394,हाँ,neutral
334,395,खैर आठ साल के शोध के बाद मैंने पाया कि यह नहीं किया जा सकता है।,sadness
335,396,खैर यह बहुत अच्छा है कि आप वापस आ गए हैं आप कैसे हैं,joy
336,398,अच्छा,joy
337,400,ओह तुम्हारे लिए अच्छा है।,neutral
338,402,माइक और मैं टूट गया।,sadness
339,403,इसका मतलब यह है कि हम कोशिश कर रहे हैं लेकिन एक अच्छा मौका है जो हमारे लिए कभी नहीं हो सकता है।,sadness
340,404,हे मेरे परमेश्वर,surprise
341,405,मुझे खेद है।,sadness
342,406,मुझे भी क्षमा करना चाहिए।,sadness
343,409,ठीक है हमारे पास यहां बहुत सारे विकल्प हैं आपके लिए कई प्रोटोटाइप हैं।,neutral
344,410,वाह यह बहुत अच्छा लग रहा है,joy
345,414,यह भी कहते हैं,neutral
346,416,ठीक है मैं मैं कुछ पानी में इनको प्राप्त करने जा रहा हूँ।,neutral
347,417,क्या आप इन लोगों से शादी करते हैं,surprise
348,418,नहीं मैंने उन्हें होटल लॉबी से लिया।,neutral
349,419,हाँ उन्हें लगता है कि वे मुझे कुछ गंदा फिल्म और मशुगा नट्स के बैग के लिए चार्ज कर सकते हैं उन्हें एक और सोच आ रही है।,anger
350,420,हे,surprise
351,421,मेरे स्वेटर,surprise
352,422,मैं इस बात की तलाश में रहा हूँ,surprise
353,423,हे मेरे परमेश्वर,surprise
354,424,हे मेरे परमेश्वर,surprise
355,426,क्यों,anger
356,427,हुह,surprise
357,428,क्योंकि मुझे यकीन है कि वह क्या कर सकता है,anger
358,432,स्वादिष्ट मैं वास्तव में ऐसा महसूस करना शुरू कर रहा हूं जैसे आप लोग एक इतिहास रखते हैं यह,joy
359,433,मेरे पास इस दृश्य के बारे में सवाल है।,neutral
360,434,हाँ,neutral
361,436,प्याज को छील लें। सबसे पहले वह अच्छा लग रहा है।,neutral
362,437,हाँ।,neutral
363,438,मुझे लगता है कि मेरे चरित्र उस से थोड़ा अधिक कारण की जरूरत है।,neutral
364,439,ओह हे इस बारे में कैसे।,neutral
365,442,यह नहीं कह सकता कि स्क्रिप्ट में।,anger
366,446,क्या आपके पास एक वीडियो कैमरा है,neutral
367,447,ग्रेग और जेनी,neutral
368,448,क्या आप अभी भी चाहते हैं मैं चाहता हूं कि मुझे कॉल करें।,neutral
369,449,चलो,neutral
370,450,हाँ अगर वे अपने दोस्तों को किसी भी स्मारिका लाते हैं तो उन्हें पूछो,joy
371,451,नमस्ते आठवीं सड़क डेली,neutral
372,452,हे आपको उस स्थान पर भोजन विषाक्तता सिर्फ बात करनी चाहिए,disgust
373,454,यहाँ तुम जाओ।,neutral
374,455,नमस्ते यह फिर से डेली है,surprise
375,456,सब ठीक मैं एक सैंडविच हूँ,joy
376,459,गोटा जाओ। मैं तुम्हें भी याद करता हूँ मैं तुमसे प्यार करता हूँ लेकिन अब यह वास्तविक देर हो रही है,sadness
377,460,हे मा। सुनो मैंने डॉ। बज़दा के साथ नियुक्ति की। मुझे क्षमा करें क्या आप जानते हैं कि यह नहीं है,surprise
378,461,उनका नाम रोन्नी है। वह एक पालतू mortician है।,neutral
379,462,निश्चित आप कितने समय तक,neutral
380,463,याद रखें जब आप एक छोटे बच्चे थे तो मैंने आपको नौसेना यार्ड में ले जाने और आपको बड़ा जहाज दिखाने के लिए इस्तेमाल किया,neutral
381,464,तब से,surprise
382,465,नहीं यह केवल छह साल का है।,neutral
383,466,मैं सिर्फ अपने सिर में एक अच्छी स्मृति रखना चाहता था इसलिए आपको पता चल जाएगा कि मैं हमेशा ऐसा भयानक आदमी नहीं था।,neutral
384,467,जो,neutral
385,468,मैं कभी प्यार में हूँ,neutral
386,469,मैं जानता हूँ।,neutral
387,470,फिर भी नहीं। आप अपने टमाटर को जला रहे हैं।,neutral
388,471,आप बात करना चाहते हैं।,disgust
389,472,जो आपका पिता का प्यार बड़ा समय है। और इसका सबसे बुरा हिस्सा है यह दो अलगअलग महिलाओं के साथ है।,neutral
390,474,बेशक ems Ma में से एक है।,surprise
391,475,सब कुछ Okay Dick,neutral
392,476,नमस्ते मैं गुरु SajWhoa हूँ  कि अन्यथा यह मेरी लीग से बाहर है।,surprise
393,477,हे रच कैसे काम किया गया,neutral
394,478,ओह महान। हालांकि मैंने कहाँ बैठा था,neutral
395,479,रास्ते में रॉस आपके सामान के एक बॉक्स से गिरा।,neutral
396,480,ओह ठीक है मुझे लगता है कि मुझे लगता है कि एक आ रहा है।,neutral
397,481,मैं,neutral
398,482,कुछ गलत,neutral
399,483,नहीं।,neutral
400,484,फिर और फिर आप ने कहा कि  वीं सदी में मेसोज़ोइक युग लाने के बारे में बात।,neutral
401,485,यह क्या है,surprise
402,486,हाँ।,neutral
403,487,हाँ,joy
404,488,हम दांत लोग ज़ैक हैं,joy
405,489,मुझे क्या कहना है,sadness
406,491,यह बुरा नहीं है।,neutral
407,493,तो क्या तुम,neutral
408,494,क्योंकि हमने अपना अपार्टमेंट वापस जीता,joy
409,495,क्या ऐस उच्च है जैक रानी राजा एसी,surprise
410,497,मैं नहीं जानता हूँ। ओह ओह इसे देखो Ahha,surprise
411,498,सभी दाएं कट चलो फिर से चुनें फिर से चुनें।,neutral
412,499,ओके,neutral
413,501,उहहुह उतना अधिक नहीं जितना कि यह काम करता है राजा,surprise
414,502,हाँ,joy
415,503,लेकिन हम फिर से चुनते हैं हम फिर से चुनते हैं,joy
416,504,क्यों,neutral
417,506,टिकट कृपया कि,joy
418,507,गंभीर रूप से हालांकि अच्छा खेल। अच्छा खेल। क्या वे इतने पागल हैं वे वापस अपार्टमेंट प्राप्त करते हैं,surprise
419,509,मुझे नहीं लगता कि हम पर्याप्त सामान लाते हैं। क्या आप बच्चे के दिल को पैक करना भूल गए,neutral
420,510,यह इसके लायक है।,neutral
421,511,यह एक ज्ञात तथ्य है कि महिलाएं शिशुओं से प्यार करती हैं ठीक है,neutral
