,index,Text,Emotion,translit
76,76,मेरा टाइम बर्बाद कर दिया ,0,meraa time barbad curr diyaa
77,77,क्या लूज़र सा एप है ,0,kyaa looran saa app haye
78,78,चुतियापा बंध करो तुम्हारा ,0,chutiapa bandh karo tumhara
79,79,पागल बना रखा है इस एप ने ,0,pagal banaa rakhaa haye iss app ney
80,80,मेरी कैब क्यों नहीं आ रही है ,0,merrie cab kyon naheen aaa rahee haye
81,81,कुछ भी नहीं बको बे ,0,kuchh bhee naheen bako bey
82,82,कहा मर गए ,0,kahaa marr gaye
83,83,क्या वाहियात है यार ,0,kyaa vahiyat haye yaar
84,84,अबे क्या मुझे तू उल्लू समझ रहा है ,0,abey kyaa mujhe tuu ullu samajh rahaa haye
85,85,अरे ये चैनल्स क्यों नहीं आ रहा चूतिये ,0,arey yeye channels kyon naheen aaa rahaa chootiye
86,86,लंड जैसा काम किया तुमने ,0,lund jaisa kaam kiyaa tumane
87,87,क्या पागलपंती है ये ,0,kyaa pagalpanti haye yeye
88,88,बहुत ही घटिया एप्प है तुम्हारा ,0,bahut hii ghatiya app haye tumhara
89,89,तुमसे अच्छा गधे से काम करा लूं,0,tumse achchha gadhe seey kaam karaa luun
90,90,मेरे ट्रैन का बुकिंग फेल हो रहा है बार बार ,0,merey train kaa booking fail hoe rahaa haye baar baar
91,91,क्या बेकार रिस्पांस है इस एप का ,0,kyaa bekaar responses haye iss app kaa
92,92,कभी तो काम के आओ तुम ,0,kabhi tou kaam key aao tum
93,93,अभी तक साले ने डिलीवरी नहीं दी ,0,abhee taka saale ney delivery naheen dee
94,94,यार क्या घटिया सर्विस है ,0,yaar kyaa ghatiya service haye
95,95,तुम किसी काम के नहीं हो बहनचोद ,0,tum kissie kaam key naheen hoe bahanchod
96,96,इतना मेहेंगा क्यों भोस्डिके ,0,itna mehenga kyon bhosdike
97,97,यूज़लेस ,0,ules
98,98,मेरे फ्लाइट  का बुकिंग फेल हो रहा है बार बार ,0,merey flight  kaa booking fail hoe rahaa haye baar baar
99,99,अजीब पागल हो तुम बे ,0,ajib pagal hoe tum bey
100,100,कोई काम के नहीं हो तुम ,0,koee kaam key naheen hoe tum
101,101,क्या बतमीज़ी है यार ,0,kyaa batameen haye yaar
102,102,जा नहीं करा रहा मैं रिचार्ज ,0,jaa naheen karaa rahaa main recharge
103,103,कितनी बार बोला की मेरा डिश टीवी रिचार्ज करना है ,0,kitni baar bolaa kii meraa dish tv recharge karna haye
104,104,अपना पैक अपने पास रख ,0,apana paik apane paas rakh
105,105,नहीं डलवाऊँगा पैसे मैं साले चोर ,0,naheen dalavaaunga paise main saale chor
106,106,एक भी सही चीज नहीं बताई तुमने,0,aeka bhee sahee cheej naheen bataai tumane
107,107,कितनी बार एक ही चीज़ बोलनी पड़ेगी ,0,kitni baar aeka hii chee bolani pegin
108,108,एप्प बार बार फस क्यों रहा है ,0,app baar baar phus kyon rahaa haye
109,109,कभी तो समझ जा एक बार मे ,0,kabhi tou samajh jaa aeka baar meey
110,110,तू बस अपना पैक्स डिटेल्स दे नालायक ,0,tuu buss apana paiks details dey nalayak
111,111,क्या बकवास पैक्स हैं ,0,kyaa bakwas paiks hain
112,112,कुछ काम का नहीं है ये एप ,0,kuchh kaam kaa naheen haye yeye app
113,113,तेरे को एक बार में समझ में नहीं आती क्या ,0,tere koo aeka baar mein samajh mein naheen aatee kyaa
114,114,ये कैब कहा रह गया यार ,0,yeye cab kahaa raha gayaa yaar
115,115,बार बार एक ही चीज़ बोले जा रहे हो ,0,baar baar aeka hii chee boley jaa rahey hoe
116,116,कुछ भी करके मेरे पैसे रिवर्ट कराओ ,0,kuchh bhee karke merey paise revert karaao
117,117,होते कौन हो आप ऐसा करने वाले ,0,hotey kaun hoe aap aisaa karane vaale
118,118,दिमाग खराब कर दिया ,0,dimag kharaab curr diyaa
119,119,मुझे तुम से बहुत शिकायत है ,0,mujhe tum seey bahut shikayat haye
120,120,टट्टी एप है ये ,0,tutty app haye yeye
121,121,मुझे कुछ समझ में नहीं आ रहा है ,0,mujhe kuchh samajh mein naheen aaa rahaa haye
122,122,यार क्या बकवास कर रहे हो तुम ,0,yaar kyaa bakwas curr rahey hoe tum
123,123,साले मेरा पैसा कब तक आएगा ,0,saale meraa paisa kaba taka aayega
124,124,एक ही बात कितने बार बोलोगे ,0,aeka hii baat kitane baar bologe
125,125,कब तक एक ही बात बोलोगे ,0,kaba taka aeka hii baat bologe
126,126,चुप चाप मेरे पैसे लौटा ,0,chup chaap merey paise lauta
127,127, तुझे एक बार मैं समझ नहीं आता क्या ,0,tujhe aeka baar main samajh naheen aataa kyaa
128,128,बहुत कन्फुसिंग इंटरफ़ेस है तुम्हारा ,0,bahut confucing interfaces haye tumhara
129,129,मै तुमसे बहुत क्रोधित हु ,0,mai tumse bahut krodhit hoo
