,Translated_Utterance,Emotion
30,मुझे मिला।,sadness
31,क्या मुझे बियर मिल सकता है?,neutral
32,"हे, क्या आपने रूममेट को चुना?",neutral
33,You betcha!,joy
34,क्या यह इतालवी लड़का है?,neutral
35,"Um-mm, हाँ!",non-neutral
36,हे मेरे परमेश्वर! Poor Monica!,surprise
37,"क्या, क्या?",surprise
38,क्या?,surprise
39,वह उसके साथ थे जब उन्होंने इस कविता को लिखा था।,neutral
40,"देखो, 'मेरे बर्तन इतना खाली नहीं के साथ अंदर।",neutral
41,"अब मैं तुम्हें छू गया हूँ, तुम अभी भी साम्राज्यवादी लग रहा है। '",neutral
42,"वह सोचता है कि मोनिका खाली है, वह खाली फूलदान है!",surprise
43,आप वास्तव में सोचते हैं कि वह क्या है?,non-neutral
44,"ओह, पूरी तरह से। ओह, भगवान, ओह, वह भी बहुत खुश लग रहा था।",sadness
45,Done.,neutral
46,हे!,non-neutral
47,हाय!,non-neutral
48,आप यहाँ क्या कर रहे हैं?,surprise
49,"The इमारत मेरे पेपर मार्ग पर है, इसलिए मैं ...",neutral
50,ओह,neutral
51,नमस्ते।,neutral
52,नमस्ते।,neutral
53,कैसे?,neutral
54,"ओह अच्छी तरह से, मैंने जिस महिला के साथ साक्षात्कार किया वह बहुत कठिन था, लेकिन मैं भगवान मार्क को धन्यवाद देना चाहता हूं, क्योंकि एक बार मैंने पतन लाइन के बारे में बात करना शुरू कर दिया, उसे सभी खुश हो गया और क्या? बंद हो गया।",joy
55,मुझे तुम पर गर्व है।,joy
56,मुझे भी!,joy
57,सुनो मैं?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,non-neutral
58,मुझे पता है।,neutral
59,हाँ।,neutral
60,हाँ।,neutral
61,American.,neutral
62,Ameri-ccan.,neutral
63,American. Y'know it?,neutral
64,हर कोई!!,surprise
65,गुड जॉय! अच्छा! शीर्ष पायदान!,joy
66,आप इसे पसंद करते हैं? आप वास्तव में इसे पसंद करते हैं?,surprise
67,"ओह-हो-हो, हाँ!",joy
68,वास्तव में कौन सा भाग?,neutral
69,पूरी बात! क्या हम जा सकते हैं?,neutral
70,Oh no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-s मुझे कुछ विशिष्टताएं देते हैं।,non-neutral
71,"मैं विशेषताओं से प्यार करता हूँ, विशेषताओं का सबसे अच्छा हिस्सा था!",non-neutral
72,"हे, क्या के बारे में दृश्य के साथ kangaroo? क्या आप उस हिस्से को पसंद करते हैं?",neutral
73,मैं एक विश्व युद्ध मैं महाकाव्य में एक कंगारू देखने के लिए आश्चर्यचकित था।,non-neutral
74,तुम सो जाओ!,anger
75,कोई kangaroo नहीं था!,anger
76,उन्होंने मुझे कोई सुझाव नहीं दिया!,non-neutral
77,कि???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,neutral
78,मैं आपको बाद में देखता हूँ।,neutral
79,क्या?,sadness
80,मैं?,sadness
81,मैं?,sadness
82,देखो!,surprise
83,यह आदमी सो गया!,non-neutral
84,वह भी सो गया!,non-neutral
85,उस पर पागल हो जाओ!,anger
86,"या, एम्बुलेंस कॉल करें।",non-neutral
87,"ठीक है, देखो, मुझे लगता है कि हमें राहेल को बताने की जरूरत है।",neutral
88,"क्या? हर किसी के साथ क्या है? यह? धन्यवाद, नहीं ... सत्य दिवस!",non-neutral
89,"हाँ, और यह मेरी इच्छा है कि उस अंगूठी की इच्छा है।",neutral
90,"देखें, अगर मैं उस अंगूठी के साथ दफन नहीं हूं तो मेरी आत्मा सभी अनंत काल के लिए जाल दुनिया को भटकने जा रही है।",neutral
91,"ठीक है, कि? पर्याप्त शहद!",neutral
92,मैं नहीं जानता हूँ। मुझे अंगूठी देखने चलो।,neutral
93,"महान! ठीक है, यहाँ।",joy
94,ठीक है।,neutral
95,धन्यवाद। धन्यवाद। धन्यवाद! और,joy
96,आप क्या कर रहे हैं?,neutral
97,"ओह, आप जानते हैं, सामान्य रूप से, शिक्षण एरोबिक्स, पार्टीिंग रास्ता बहुत ज्यादा।",neutral
98,"ओह, और अगर आप सोच रहे थे, तो वे नए जेम्स बॉन्ड पोस्टर पर मेरे पैर हैं।",neutral
99,क्या आप एक पल में पकड़ सकते हैं? मेरे पास एक और कॉल है। मैं उससे प्यार करता हूँ।,joy
100,मुझे पता है।,neutral
101,मैं वापस आ गया हूँ।,neutral
102,तो क्या हम एक साथ या क्या प्राप्त करते हैं?,neutral
103,"बिल्कुल। The day of the day. क्या आप जानते हैं कि उह, मध्य पर्क गांव में, पांच-ish?",neutral
104,मैं आपको फिर से देखता हूँ।,neutral
105,ठीक ठीक अंत में एक फोन भुगतान किया गया है।,joy
106,"हालांकि आप एक अच्छा बॉब इंप्रेशन करते हैं, मैं सोच रहा हूँ कि जब वह आपको याद आती है, तो वह शायद महसूस करती है, ""हाय, आप बॉब नहीं हैं""।",neutral
107,"मैं उम्मीद कर रहा हूँ कि जब बॉब नहीं दिखा रहा है, तो वह अगले टेबल पर रोया अजनबी के खुले हथियारों में आराम की तलाश करेगी।",neutral
108,हे मेरे देवता। आप शुद्ध बुराई हैं।,disgust
109,"ओके, शुद्ध बुराई, सींग और अकेले। मैंने किया",non-neutral
110,कोई नहीं!,anger
111,कोई भी बाल्टी का सम्मान नहीं करता!,anger
112,आप यह नहीं मान सकते कि लोग क्या करते हैं?,non-neutral
113,देखो!,anger
114,क्या यह आपके लिए एक कचरा जैसा दिखता है?,anger
115,नहीं,neutral
116,यह मेरी शादी है।,neutral
117,क्या? हम वास्तव में देर हो चुकी हैं! चलो? चलो? चलो?,non-neutral
118,ठीक जब हम वापस आते हैं तो आप इसे वीडियो पर देख सकते हैं।,neutral
119,यहां आप पाउबे जाते हैं! यहाँ आप Phobo जाओ! Fewbedo! फैबोबो,joy
120,धन्यवाद।,neutral
121,धन्यवाद।,neutral
122,"सब ठीक है, चलो? बाय, Feebs!",joy
123,"Bye, Pheebs!",joy
124,लंदन,joy
125,क्या आपको ह्यूग की आवश्यकता है? मुझे कुछ भी नहीं मिला!,joy
126,हे!,non-neutral
127,हे! इसलिए एस्टेले ने कल मेरे लिए ऑडिशन का एक गुच्छा तैयार किया और मैं अपने स्वास्थ्य बीमा को वापस नहीं लेगा।,joy
128,क्या आप अभी शौचालय में नहीं होना चाहिए?,non-neutral
129,क्या?,surprise
130,क्या?,non-neutral
131,नहीं!,neutral
132,"ठीक है, मैं अपने पेट में इस अंधापन दर्द को मिला जब मैं पहले वजन उठा रहा था, तो मैं उह से बाहर हो गया और उह, क्या हुआ? तब से खड़े होने में सक्षम नहीं रहा।",fear
133,लेकिन क्या मुझे नहीं लगता?,neutral
134,यह हर्निया की तरह लगता है। आपके पास क्या है?,surprise
135,नहीं! अगर मुझे डॉक्टर के पास जाना है तो क्या?,fear
136,यह एक हर्निया है।,non-neutral
137,मुझे फिर से काम करना क्यों था? आप 15s!,anger
138,मैं तुम्हारी जगह प्यार करता हूँ! यह लड़का कहां से है?,joy
139,उह? कलकत्ता से अठारहवीं सदी के भारतीय कलाकृति।,neutral
140,"ओह वाह! इसलिए, आप सिर्फ डायनासोर से अधिक हैं।",surprise
141,बहुत कुछ,neutral
142,"ठीक है, अच्छी तरह से योग करने के लिए, हम? मज़ा कर रहे हैं, तुम युवा देखो।",neutral
143,ओके,neutral
144,लेकिन यह पर्याप्त नहीं है। To make a key to my अपार्टमेंट.,neutral
145,वास्तव में?,surprise
146,वास्तव में।,neutral
147,आप नहीं सोचते कि यह बहुत तेज है।,neutral
148,बाहर जाओ!,anger
149,"रॉस, क्या मैं आपसे एक मिनट के लिए बात कर सकता हूं?",neutral
150,"हाँ, कृपया! तो क्या चल रहा है?",neutral
151,"Uh, well... जो और मैं टूट गया।",sadness
152,क्या हुआ?,surprise
153,"Joey एक महान आदमी है, लेकिन हम सिर्फ... इतना अलग! मेरा मतलब है, अपने भाषण के दौरान उन्होंने समलैंगिकता पर हंसते हुए कहा!",sadness
154,मुझे पता था कि वह था!,non-neutral
155,"वैसे भी मैं सिर्फ उह, मुझे लगता है कि यह सबसे अच्छा है।",sadness
156,क्या तुम ठीक हो?,neutral
157,मुझे लगता है।,sadness
158,वहाँ एक और कारण था कि मैंने सोचा कि यह जॉय के साथ समाप्त करने के लिए समय था।,neutral
159,मैंने यह महसूस करना शुरू कर दिया कि मुझे किसी और के लिए भावनाओं थी।,neutral
160,"ओके गेलर सम्मेलन का अंतिम दिन, आपको पता है कि कुंजीनोट स्पीकर क्या होता है।",neutral
161,"ओह, प्रोफेसर क्लर्क हम एक बातचीत के बीच में टाइप कर रहे हैं, यहां।",neutral
162,"हाँ, क्या आप लोग उसे बाद में पूल में फेंक सकते हैं?",neutral
163,या हम आपको दोनों में फेंक सकते हैं,non-neutral
164,ठीक है!,anger
165,कृपया!,anger
166,क्या हम इसके लिए थोड़ा पुराना नहीं हैं?,anger
167,"मेरा मतलब है, हम वैज्ञानिक हैं, सही?",non-neutral
168,हम शैक्षणिक हैं।,non-neutral
169,सबसे महत्वपूर्ण बात यह है कि आप पहले हमें पकड़ना होगा।,joy
170,।,neutral
171,"जाओ, जाओ, जाओ!",joy
172,"जाओ, जाओ, जाओ!",joy
173,"ओह हाँ, अब हर कोई इस टोपी के नीचे होना चाहता है!",joy
174,हे!,non-neutral
175,क्या?,surprise
176,"ओह, हाँ, बॉब ने कहा कि बाढ़ की क्षति हो सकती है।",neutral
177,"या तो, या उसके पास वास्तव में बड़ी बिल्ली है।",neutral
178,"ठीक है, यह देखते हैं कि अंधा लड़का कहां है? मैं बाद में अपने सिर को तोड़ रहा हूँ।",anger
179,"ओह उम, मेरा बड़ा दृश्य आ रहा है। बड़ा दृश्य आया।",joy
180,"यदि आपने कहा है, ""बिग लीमा बीन, bubbling ऊपर""। क्या वह अंतर को समझती है?",neutral
181,Rach? आप क्या कर रहे हैं?,neutral
182,"ओह बॉय, मैं सिर्फ नहीं देख सकता। यह बहुत डरावना है!",fear
183,यह एक डायपर वाणिज्यिक है।,neutral
184,"ओह योआ अच्छी तरह से, आप मुझे पता है, शिशुओं, जिम्मेदारियों, आह!",fear
185,पिज्जा डिलीवरी!,joy
186,मैं इसे प्राप्त करूँगा! मुझे लगता है!,joy
187,हाय!,joy
188,हाय!,joy
189,"हे, आप खाने या उह के लिए कुछ प्राप्त करना चाहते हैं, क्या आप यह देखना चाहते हैं कि हम इस गेंद को वापस कब तक फेंक सकते हैं? हुह?",neutral
190,"उह, गेंद बात।",neutral
191,हाँ?,neutral
192,"हे रॉस, यह महान नहीं होगा अगर हम इसे छोड़ने के बिना दो सीधे घंटे जा सकते हैं?!",joy
193,उह,neutral
194,नमस्ते!,joy
195,उह-ओह,fear
196,क्या?,neutral
197,मुझे पेशाब करना पड़ता है। और राहेल बाथरूम में!,non-neutral
198,मैं नहीं सोचा था कि हम इसे बनाना चाहते थे!,surprise
199,मैं जानता हूँ! क्या हाथ स्विच नहीं करते हैं?,fear
200,हे,neutral
201,हे!,neutral
202,यह कैसे एरिन के साथ जाना था?,neutral
203,"ओह, अविश्वसनीय! हम सबसे अच्छा समय था!",joy
204,जय! क्या आप अभी नहीं जानते?,joy
205,नहीं!,non-neutral
206,नहीं!,non-neutral
207,नहीं!,non-neutral
208,तुम लोग बिल्कुल सही थे!,joy
209,पहली बार जब हम बाहर निकल गए तो यह बहुत बेहतर है।,joy
210,क्या?,neutral
211,"यह इतना अजीब था, हम वास्तव में तंत्रिका थे।",neutral
212,क्या आप एक साथ सो रहे हैं?,neutral
213,"हाँ, यह वास्तव में मुझे शांत करता है।",neutral
214,और!,non-neutral
215,हमारे पास बहुत आम है!,joy
216,"वह सैंडविच, खेल से प्यार करती है, हालांकि वह एक मेट प्रशंसक है, अब कोई मुद्दा नहीं है लेकिन अगर हम कभी बच्चों के लिए थे, तो अच्छी तरह से?",non-neutral
217,"हे मेरे परमेश्वर! क्या आप बच्चों के बारे में बात करते हैं? ओह मेरा जो ओह, कृपया मुझे क्या करना चाहिए?",surprise
218,ओके,neutral
219,वह कैसे करती है?,surprise
220,मैं सार्वजनिक स्थान पर नहीं रह सकता।,neutral
221,क्या आप उसे देख सकते हैं? वह इतनी शांतिपूर्ण है।,non-neutral
222,ओह! क्या? ...हाय।,surprise
223,"यह ठीक है, y'know, तुम सिर्फ फिर से बंद कर दिया।",neutral
224,आपके साथ क्या चल रहा है?,surprise
225,मुझे नींद नहीं मिली!,anger
226,क्यों?,neutral
227,मेरी दादी के पास यह नया प्रेमी है और वे दोनों तरह के बिस्तर में असुरक्षित हैं।,disgust
228,"ओह, और बहरा।",neutral
229,"इसलिए वे लगातार होते हैं, जैसे कि, एक दूसरे को आश्वस्त करने के लिए कि उनके पास अच्छा समय है।",neutral
230,आपके पास कोई विचार नहीं है कि वे कितनी ज़ोर से हैं!,disgust
231,"ठीक है, अगर आप चाहते हैं, तो आप राहेल और मुझे रात के साथ रह सकते हैं।",neutral
232,धन्यवाद।,joy
233,Ew! क्या है? कुछ विस्फोट!,disgust
234,यह सिर्फ उसका पानी तोड़ने वाला है। क्या आप नीचे गिर सकते हैं?,neutral
235,क्या आप जानते हैं? क्या है?,surprise
236,"साँस लेना, साँस लेना, साँस लेना।",neutral
237,"क्या आप पागल हैं? मेरा मतलब है जॉय, आपको मारने जा रहा है, वह वास्तव में आपको मृत घोषित करने जा रहा है।",surprise
238,नमस्ते! क्या मैं सोचता हूँ?,non-neutral
239,आप किस तरह जानते हैं?,surprise
240,मेरा मतलब है कि?,non-neutral
241,"मेरा मतलब है, यह जीना था?",neutral
242,Gina कौन है?,neutral
243,"डार्क, बड़े बाल, हवाई जहाज की बालियां के साथ।",neutral
244,"नहीं, नहीं, कि?",neutral
245,आप देख सकते हैं? नहीं बताओ कि कौन क्या है?,surprise
246,"मैं नहीं जानता, तुमने सोचा कि आप शनिवार?",neutral
247,"देखो शहद, मार्क फैशन ओके में है, मुझे एक दोस्त होना पसंद है जो मैं इस सामान को साझा कर सकता हूं।",neutral
248,आप कभी मेरे साथ एक व्याख्यान में नहीं जाना चाहते हैं।,neutral
249,Pahaa!! मैं आपसे प्यार करता हूँ।,joy
250,वास्तव में!,surprise
251,"Yeah, hey I-I कपड़े है, मैं भी उन्हें बाहर लेने के लिए।",neutral
252,मेरा मतलब है कि आप सभी जानते हैं कि मैं एक फैशन हो सकता है।,neutral
253,ओके मैं तुम्हारे लिए मेरे साथ जाने के लिए प्यार करता हूँ। क्या?,joy
254,मुझे क्या पहनना चाहिए?,fear
255,मैं जानता हूँ कि हमने ऐसा किया था !! हे!,joy
256,"मुझे पता है, यह अद्भुत था! मेरा मतलब है, हम पूरी तरह से इसे नाखूनित करते हैं, यह सुंदर था।",joy
257,": धन्यवाद, सुनो, बहुत धन्यवाद Tribbiani, धन्यवाद। हे मेरे परमेश्वर, उस समय को देखते हुए, मुझे बस को गेंद पर पकड़ना पड़ा।",joy
258,"ओह अच्छी तरह से, ठीक है, गुड लक।",non-neutral
259,: हाँ।,neutral
260,जब तक आप फिर से Foxtrot अभ्यास करना चाहते हैं? या फिर टैंगो?,neutral
261,": अहम, धन्यवाद लेकिन नहीं। मुझे लगता है मैं? मैं लड़कियों के साथ नृत्य करने के लिए तैयार हूँ।",neutral
262,ओके,neutral
263,: हाँ।,neutral
264,जाओ जाओ!,neutral
265,": सही हे, ahh, आप आना चाहते हैं? मार्ज एक प्रेमिका है।",neutral
266,वास्तव में?,surprise
267,": हाँ, आप उसके साथ वास्तविक अच्छा नृत्य कर सकते हैं, वह मेरे समान आकार का है।",neutral
268,"नहीं, मैं?",neutral
269,"हे भगवान, यह इतना तंत्रिका क्रैकिंग है! आप यह कैसे करते हैं?",non-neutral
270,"खैर, दुर्भाग्य से, मुझे कई कॉलबैक नहीं मिलते हैं",neutral
271,क्या यह एक अच्छा संकेत है कि उन्होंने हमें ऑडिशन के बाद लटकाने के लिए कहा?,surprise
272,कौन जानता है?,neutral
273,"ओके उह, हमने इसे रेमंड, बेन, Kyle और Joey को संकुचित कर दिया है। आप के बाकी, बहुत धन्यवाद।",neutral
274,हाँ! मुझे पता था! बाई! लंबे समय तक! बाद में!,joy
275,ओह! मैं वास्तव में बेन के पिताजी खेलने के लिए हो सकता है!,joy
276,हाँ!,joy
277,"वास्तव में, ऐसा नहीं हो सकता।",neutral
278,"हाँ, क्योंकि आपके पास ऐसा अलग दिखता है, हम आपको बेन के साथ रेमंड और किले के साथ डाल रहे हैं।",neutral
279,तो तुम दो या दो हो।,neutral
280,"मनुष्य, यह किंवदंत है।",non-neutral
281,"हाँ, यह है।",neutral
282,"नहीं, हम सबसे अच्छे दोस्त हैं, यही कारण है कि यह अजीब क्यों है।",neutral
283,"ठीक है, आने पर, मैं शादी नहीं कर सकता जब तक मुझे कुछ पुराना, कुछ नया, कुछ उधार लिया और कुछ नीला नहीं मिला।",non-neutral
284,"ठीक है, ठीक है, ठीक है! नमस्ते! ठीक है, यहाँ कुछ है, यहाँ कुछ नीला और नया है।",joy
285,कृपया!,non-neutral
286,क्या आप बच्चे हैं?,non-neutral
287,"मैं तीन विशाल पुरुषों को चोट पहुँचा, मैं एक आदमी को एक खूनी नाक दे दिया? मेरा मतलब है मैं? मुझे गर्व है लेकिन मैं वास्तव में हूँ।",non-neutral
288,"और यह तुम सब के कारण, अद्भुत, अद्भुत तुम!",joy
289,मुझे लगता है कि तुम? क्या हुआ?,fear
290,"नहीं, मैं? धन्यवाद।",joy
291,आपका स्वागत है मैं? क्या मैं तुम्हें चोट लगी?,fear
292,यह दर्द के लायक है। क्या आप जानते हैं? नहीं?,non-neutral
293,वाह! यह बात दिलचस्प थी! मुझे नहीं पता कि क्या फीबे और डेविड के साथ होता है।,surprise
294,"मैं करता हूँ! एक संकेत चाहते हैं? Huh? ""I do"" ""I do"".",non-neutral
295,"ठीक है, मुझे लगता है कि यह कुछ प्रकार का शब्द है, क्योंकि आप बेरहमी से नियंत्रित चमक के साथ गुलाबी हैं।",neutral
296,डेविड पोबे का प्रस्ताव करने जा रहा है।,joy
297,क्या? क्यों?,surprise
298,"Be-cause, हम उन तरीकों के बारे में बात कर रहे थे जिन्हें वह माइक को मार सकता था और मैंने उसे बताया कि Phoebe शादी करना चाहता था।",non-neutral
299,चांदलर ने इस बारे में बात की है।,anger
300,आपको लोगों को सलाह देने की आवश्यकता नहीं है!,anger
301,अब क्या आपने अभी कुछ अनुचित मजाक नहीं किया?,non-neutral
302,I,neutral
303,वे केवल कुछ हफ्तों के लिए बाहर जा रहे हैं और फीबे पूरी तरह से माइक पर लटका दिया है!,anger
304,"वह कहूँगा ""नहीं"", डेविड का दिल टूट जाएगा, उनके लिए ठीक होने के लिए बहुत मुश्किल होगा और फिर पोबे अकेले खत्म हो जाएगा",non-neutral
305,"आदमी, यह कुछ है",non-neutral
306,क्या आप चाहते हैं?,neutral
307,"यह मेरे पिता, पॉल स्टीवंस है। पिता, यह रॉस गेलर है।",neutral
308,यह आपको पॉल से मिलने के लिए बहुत अच्छा है।,joy
309,मैं आमतौर पर एलिजाबेथ? प्रेमी को मुझे श्री स्टीवंस के रूप में संबोधित करना पसंद करता हूं।,neutral
310,"बेशक, निश्चित रूप से, श्री स्टीवंस।",neutral
311,"तो रॉस, क्या आपकी समस्या?",anger
312,Eh-wh?,surprise
313,क्यों?,anger
314,यह अजीब है। Umm. यह अजीब नहीं है।,fear
315,I,neutral
316,ओके,neutral
317,मैं इसे देख सकता हूँ।,neutral
318,"लेकिन मुझे लगता है कि अगर आप मुझे यूएमएम देते हैं, तो मैं एक मौका दे सकता हूं, मैं आपका दिमाग बदल सकता हूं।",fear
319,ओके,neutral
320,क्या?,neutral
321,ओके मैं तुम्हें अपने दिमाग को बदलने का मौका देता हूँ। आपको एक मिनट मिला।,anger
322,डैडी,surprise
323,"ठीक है, यह अभी तक टीवी पर नहीं है।",neutral
324,"ठीक है, तो यह अभी तक दीवार पर नहीं है।",neutral
325,"ठीक है, मैं आपको एक टेप, huh लूंगा?",neutral
326,तो अब क्या आपके पास मैट लॉयर? शायद? अभी तक साफ नहीं किया गया?,neutral
327,ओहूह!,surprise
328,"ओह हाँ, मुझे यकीन है। और अचानक उसका हाथ अब तक समस्या नहीं थी।",neutral
329,क्या यह...?,surprise
330,"ओह, लड़के स्काउट्स वहाँ के तहत शिविर किया जा सकता है।",neutral
331,क्या?,surprise
332,उमा थुरमैन।,neutral
333,ओह!,surprise
334,अभिनेत्री!,surprise
335,धन्यवाद।,neutral
336,आप क्या कर रहे हैं?,surprise
337,आपको बताना होगा!,joy
338,आपको बताना होगा!,joy
339,"यह आपकी नैतिक दायित्व है, एक दोस्त के रूप में, एक महिला के रूप में, मुझे लगता है कि यह एक नारीवादी मुद्दा है!",non-neutral
340,लोग?,non-neutral
341,लोग?,non-neutral
342,"ओह, हाँ, आपको उसे बताना होगा।",neutral
343,फेमिनिस्ट मुद्दा। मैं कहाँ गया!,neutral
344,वह मुझे नफरत करता है।,fear
345,"Yeah, well...",neutral
346,क्या आप मुझसे शादी करेंगे?,non-neutral
347,यह बड़ी रात है! हम आपको शुभकामनाएं चाहते थे!,joy
348,"हाँ, क्या आपके पास अंगूठी है?",neutral
349,"हाँ, यहाँ मेरी जेब में। Pheebs?",neutral
350,ओह!,surprise
351,क्या आप यहाँ से बाहर निकलेंगे? मैं चाहता हूँ कि यह एक आश्चर्य है और वह?,neutral
352,Yeah-yeah तुम लोग। यहाँ जाओ!,neutral
353,हाय दोस्तों।,neutral
354,आप सुंदर हैं।,joy
355,"ओह, धन्यवाद! क्या?",joy
356,"वास्तव में, हम इस चैरिटी इवेंट के बारे में बहुत उत्साहित हैं जिसे हमें जाना है।",neutral
357,"ओके यूएम, रॉस?",neutral
358,"मैं वास्तव में गर्म हूँ, इसलिए मैं अपने स्वेटर बंद करने जा रहा हूँ।",neutral
359,"अब, मैं आपको यह जानने की अनुमति देता हूं कि यह है",neutral
360,हाँ! यह बहुत अच्छा है!,joy
361,मुझे खेद है। मैं किया हूँ। मैं किया हूँ।,neutral
362,आखिरी रात भी आपके लिए शर्मिंदा थी।,neutral
363,"नहीं, वास्तव में। मेरा मतलब है कि आपने मुझे सैकड़ों बार नग्न देखा है।",neutral
364,उह-हुह लेकिन यह मेरी बाकी इमारत के लिए पहला था।,neutral
365,"ओके सब ठीक है, यह सच है! लेकिन मैं सिर्फ इतना शर्मिंदा नहीं हूँ।",neutral
366,क्या? आप पूरी तरह से शर्मिंदा हो जाओ!,surprise
367,"नहीं, मैं नहीं हूँ! रॉस, मुझे लगता है कि मैं सिर्फ तुम्हारे बारे में अधिक सुरक्षित व्यक्ति हूँ।",neutral
368,क्या ऐसा है?,neutral
369,हाँ।,neutral
370,हेली लेडी! क्या आप चाहते हैं? नमस्कार! मैं हूँ,disgust
371,मैं क्या कर सकता हूँ?,surprise
372,मैंने किया!,joy
373,मैं एक बाइक सवार!,joy
374,मैं कभी सोचा नहीं?,joy
375,धन्यवाद रॉस।,joy
376,"ओह हे, मुझे धन्यवाद देना, धन्यवाद देना। आप? क्या वह है जो उसके डर का सामना करता है और अंततः उन्हें ओवरकैम करता है।",joy
377,"खैर हाँ, लेकिन फिर",non-neutral
378,"हाँ! क्या हम घर जाने जाते हैं और स्नान करते हैं? अब, यह?",non-neutral
379,क्या आप हमारे द्वारा मतलब पर निर्भर करता है।,neutral
380,"हे, तुम दोनों लोग मेरे साथ वहाँ होना चाहिए।",neutral
381,"मेरा मतलब है, तुम दो कर रहे हैं मेरा मतलब है, मैं?",neutral
382,धन्यवाद।,neutral
383,मैं यहाँ पर कुछ देख रहा हूँ।,neutral
384,क्या एक बच्चा है?,non-neutral
385,कुल मिलाकर!,non-neutral
386,डेविड?,neutral
387,Phoebe! हाय!,joy
388,हे मेरे परमेश्वर!,surprise
389,"वाह, आप अविश्वसनीय लगते हैं।",joy
390,हाँ। आप यहाँ क्या कर रहे हैं?,surprise
391,"खैर, मैं मिन्स्क से वापस आ गया ... स्थायी रूप से।",non-neutral
392,क्या हुआ?,surprise
393,"अच्छी तरह से, याद रखें कि मैं परमाणु कणों के पोसिट्रोनिक आसवन को कैसे प्राप्त करने की कोशिश कर रहा था?",neutral
394,हाँ?,neutral
395,"खैर, आठ साल के शोध के बाद मैंने पाया कि यह नहीं किया जा सकता है।",sadness
396,"खैर, यह बहुत अच्छा है कि आप वापस आ गए हैं! आप कैसे हैं?",joy
397,"अच्छा, अच्छा, जीवन अच्छा है...",non-neutral
398,अच्छा!,joy
399,"ठीक है, मैं किसी को देख रहा हूँ।",non-neutral
400,"ओह, तुम्हारे लिए अच्छा है।",neutral
401,"वह एक वैज्ञानिक भी है, इसलिए वह बहुत स्मार्ट और सुंदर है ... ठीक है, यह वास्तव में आपके कारण है, वास्तव में, कि हम एक साथ हैं, मेरा मतलब है, मैंने देखा कि आपके पास किस माइक लड़के के साथ था, और मैंने सिर्फ ""Boy, मैं चाहता हूं कि ""।",non-neutral
402,माइक और मैं टूट गया।,sadness
403,"इसका मतलब यह है कि हम कोशिश कर रहे हैं, लेकिन एक अच्छा मौका है जो हमारे लिए कभी नहीं हो सकता है।",sadness
404,हे मेरे परमेश्वर!,surprise
405,मुझे खेद है।,sadness
406,मुझे भी क्षमा करना चाहिए।,sadness
407,"ठीक है, हम गन्ना हैं ... हम इस बारे में बता रहे हैं।",non-neutral
408,मुझे पता है।,non-neutral
